region_id,timestamp,val_PM10_max,extra_rings_PM10_max
ML,2017-01-02,13.333333333333336,1
N,2017-01-02,30.33333333333333,1
NE,2017-01-02,8.0,0
NG,2017-01-02,37.5,0
NN,2017-01-02,20.666666666666668,1
NP,2017-01-02,35.0,0
NR,2017-01-02,17.0,0
NW,2017-01-02,33.5,0
OL,2017-01-02,38.0,1
OX,2017-01-02,25.5,1
PA,2017-01-02,8.0,0
PE,2017-01-02,28.0,1
PH,2017-01-02,9.666666666666666,1
PL,2017-01-02,24.5,0
PO,2017-01-02,21.0,0
PR,2017-01-02,30.0,2
RG,2017-01-02,30.5,0
RH,2017-01-02,40.0,0
RM,2017-01-02,26.0,0
S,2017-01-02,20.0,0
SA,2017-01-02,27.66666666666667,0
SE,2017-01-02,33.0,0
SG,2017-01-02,27.0,0
SK,2017-01-02,31.42857142857143,1
SL,2017-01-02,27.66666666666667,1
SM,2017-01-02,35.2,2
SN,2017-01-02,57.66666666666666,1
SO,2017-01-02,36.5,0
SP,2017-01-02,33.5,1
SR,2017-01-02,19.0,1
SS,2017-01-02,25.0,0
ST,2017-01-02,61.0,0
SW,2017-01-02,34.0,1
SY,2017-01-02,27.66666666666667,1
TA,2017-01-02,77.0,1
TD,2017-01-02,14.5,1
TF,2017-01-02,61.0,1
TN,2017-01-02,34.5,1
TQ,2017-01-02,30.33333333333333,1
TR,2017-01-02,24.5,1
TS,2017-01-02,24.5,0
TW,2017-01-02,33.666666666666664,1
UB,2017-01-02,22.0,0
W,2017-01-02,39.5,0
WA,2017-01-02,23.0,0
WC,2017-01-02,24.0,0
WD,2017-01-02,29.66666666666667,1
WF,2017-01-02,19.25,1
WN,2017-01-02,33.0,1
WR,2017-01-02,24.75,1
WS,2017-01-02,39.66666666666666,1
WV,2017-01-02,61.0,1
YO,2017-01-02,19.5,0
ZE,2017-01-02,,2
AB,2017-01-03,19.0,0
AL,2017-01-03,26.0,1
B,2017-01-03,13.0,0
BA,2017-01-03,108.0,1
BB,2017-01-03,25.4,2
BD,2017-01-03,19.0,1
BH,2017-01-03,32.0,1
BL,2017-01-03,38.5,1
BN,2017-01-03,34.0,1
BR,2017-01-03,28.0,1
BS,2017-01-03,108.0,0
BT,2017-01-03,16.0,0
CA,2017-01-03,12.0,0
CB,2017-01-03,26.0,1
CF,2017-01-03,30.0,0
CH,2017-01-03,25.0,1
CM,2017-01-03,26.0,1
CO,2017-01-03,24.0,2
CR,2017-01-03,31.0,1
CT,2017-01-03,30.0,1
CV,2017-01-03,34.0,0
CW,2017-01-03,21.0,1
DA,2017-01-03,28.0,1
DD,2017-01-03,19.0,1
DE,2017-01-03,28.6,1
DG,2017-01-03,12.0,1
DH,2017-01-03,10.0,1
DL,2017-01-03,10.666666666666666,1
DN,2017-01-03,11.0,0
DT,2017-01-03,34.0,1
DY,2017-01-03,13.0,1
E,2017-01-03,28.0,1
EC,2017-01-03,28.0,1
EH,2017-01-03,5.0,1
EN,2017-01-03,31.0,1
EX,2017-01-03,34.0,0
FK,2017-01-03,5.0,0
FY,2017-01-03,12.0,2
G,2017-01-03,9.0,0
GL,2017-01-03,47.2,1
GU,2017-01-03,28.0,1
GY,2017-01-03,,2
HA,2017-01-03,30.2,1
HD,2017-01-03,31.33333333333333,1
HG,2017-01-03,15.0,1
HP,2017-01-03,21.0,1
HR,2017-01-03,30.0,1
HS,2017-01-03,,2
HU,2017-01-03,18.0,0
HX,2017-01-03,29.857142857142854,2
IG,2017-01-03,27.0,1
IM,2017-01-03,,2
IP,2017-01-03,20.0,1
IV,2017-01-03,19.0,1
JE,2017-01-03,,2
KA,2017-01-03,7.666666666666668,1
KT,2017-01-03,34.0,1
KW,2017-01-03,19.0,2
KY,2017-01-03,5.0,1
L,2017-01-03,25.0,1
LA,2017-01-03,12.0,1
LD,2017-01-03,26.66666666666667,1
LE,2017-01-03,42.0,0
LL,2017-01-03,23.75,2
LN,2017-01-03,21.0,1
LS,2017-01-03,19.0,0
LU,2017-01-03,26.0,1
M,2017-01-03,38.5,0
ME,2017-01-03,30.0,0
MK,2017-01-03,26.0,1
ML,2017-01-03,7.666666666666668,1
N,2017-01-03,33.5,1
NE,2017-01-03,4.0,0
NG,2017-01-03,26.0,0
NN,2017-01-03,36.66666666666666,1
NP,2017-01-03,30.0,0
NR,2017-01-03,20.0,0
NW,2017-01-03,33.5,0
OL,2017-01-03,38.5,1
OX,2017-01-03,27.5,1
PA,2017-01-03,5.0,0
PE,2017-01-03,28.0,1
PH,2017-01-03,9.666666666666666,1
PL,2017-01-03,31.0,0
PO,2017-01-03,32.0,1
PR,2017-01-03,28.5,2
RG,2017-01-03,21.0,0
RH,2017-01-03,34.0,0
RM,2017-01-03,26.0,0
S,2017-01-03,31.33333333333333,0
SA,2017-01-03,23.33333333333333,0
SE,2017-01-03,28.0,0
SG,2017-01-03,26.0,0
SK,2017-01-03,30.42857142857143,1
SL,2017-01-03,20.0,1
SM,2017-01-03,32.0,2
SN,2017-01-03,50.0,1
SO,2017-01-03,32.0,0
SP,2017-01-03,26.5,1
SR,2017-01-03,10.0,1
SS,2017-01-03,28.0,1
ST,2017-01-03,17.0,0
SW,2017-01-03,31.33333333333333,1
SY,2017-01-03,23.33333333333333,1
TA,2017-01-03,71.0,1
TD,2017-01-03,8.0,1
TF,2017-01-03,17.0,1
TN,2017-01-03,32.0,1
TQ,2017-01-03,32.5,1
TR,2017-01-03,31.0,1
TS,2017-01-03,13.0,0
TW,2017-01-03,28.0,1
UB,2017-01-03,18.0,0
W,2017-01-03,33.0,0
WA,2017-01-03,25.0,0
WC,2017-01-03,32.2,1
WD,2017-01-03,28.33333333333333,1
WF,2017-01-03,20.625,1
WN,2017-01-03,34.0,1
WR,2017-01-03,27.0,1
WS,2017-01-03,15.0,1
WV,2017-01-03,17.0,1
YO,2017-01-03,11.0,0
ZE,2017-01-03,,2
AB,2017-01-04,18.0,0
AL,2017-01-04,43.0,1
B,2017-01-04,25.0,0
BA,2017-01-04,31.5,2
BB,2017-01-04,33.5,2
BD,2017-01-04,12.0,1
BH,2017-01-04,30.5,1
BL,2017-01-04,40.5,1
BN,2017-01-04,55.0,1
BR,2017-01-04,31.75,2
BS,2017-01-04,36.0,1
BT,2017-01-04,71.2,0
CA,2017-01-04,58.0,0
CB,2017-01-04,43.0,1
CF,2017-01-04,30.0,0
CH,2017-01-04,39.0,1
CM,2017-01-04,29.33333333333333,1
CO,2017-01-04,28.5,2
CR,2017-01-04,55.0,1
CT,2017-01-04,25.5,1
CV,2017-01-04,24.0,0
CW,2017-01-04,43.0,1
DA,2017-01-04,24.0,1
DD,2017-01-04,18.0,1
DE,2017-01-04,30.2,1
DG,2017-01-04,58.0,1
DH,2017-01-04,31.0,1
DL,2017-01-04,34.666666666666664,1
DN,2017-01-04,21.0,0
DT,2017-01-04,19.0,1
DY,2017-01-04,25.0,1
E,2017-01-04,43.25,2
EC,2017-01-04,39.0,2
EH,2017-01-04,21.0,1
EN,2017-01-04,50.66666666666666,1
EX,2017-01-04,19.0,0
FK,2017-01-04,21.0,0
FY,2017-01-04,48.0,2
G,2017-01-04,39.5,0
GL,2017-01-04,28.0,1
GU,2017-01-04,37.8,1
GY,2017-01-04,,2
HA,2017-01-04,40.2,1
HD,2017-01-04,25.0,1
HG,2017-01-04,20.25,1
HP,2017-01-04,36.5,1
HR,2017-01-04,36.0,1
HS,2017-01-04,,2
HU,2017-01-04,25.0,0
HX,2017-01-04,25.714285714285715,2
IG,2017-01-04,21.0,1
IM,2017-01-04,,2
IP,2017-01-04,26.0,1
IV,2017-01-04,18.0,1
JE,2017-01-04,,2
KA,2017-01-04,32.666666666666664,1
KT,2017-01-04,55.0,1
KW,2017-01-04,18.0,2
KY,2017-01-04,21.0,1
L,2017-01-04,38.0,0
LA,2017-01-04,58.0,1
LD,2017-01-04,29.0,1
LE,2017-01-04,25.0,0
LL,2017-01-04,31.4,2
LN,2017-01-04,34.666666666666664,1
LS,2017-01-04,12.0,0
LU,2017-01-04,43.0,1
M,2017-01-04,40.5,0
ME,2017-01-04,25.5,0
MK,2017-01-04,43.0,1
ML,2017-01-04,33.333333333333336,1
N,2017-01-04,54.5,1
NE,2017-01-04,13.0,0
NG,2017-01-04,41.5,0
NN,2017-01-04,24.33333333333333,1
NP,2017-01-04,36.0,0
NR,2017-01-04,26.0,0
NW,2017-01-04,54.5,0
OL,2017-01-04,40.5,1
OX,2017-01-04,30.25,1
PA,2017-01-04,19.0,0
PE,2017-01-04,35.4,1
PH,2017-01-04,19.33333333333333,1
PL,2017-01-04,28.0,0
PO,2017-01-04,30.5,1
PR,2017-01-04,38.0,1
RG,2017-01-04,36.5,0
RH,2017-01-04,55.0,0
RM,2017-01-04,21.0,0
S,2017-01-04,25.0,0
SA,2017-01-04,26.33333333333333,0
SE,2017-01-04,21.0,1
SG,2017-01-04,43.0,0
SK,2017-01-04,34.57142857142857,1
SL,2017-01-04,33.333333333333336,1
SM,2017-01-04,40.0,2
SN,2017-01-04,36.5,1
SO,2017-01-04,30.5,0
SP,2017-01-04,33.5,1
SR,2017-01-04,31.0,1
SS,2017-01-04,24.0,0
ST,2017-01-04,46.0,0
SW,2017-01-04,32.5,1
SY,2017-01-04,26.33333333333333,1
TA,2017-01-04,19.0,1
TD,2017-01-04,35.5,1
TF,2017-01-04,46.0,1
TN,2017-01-04,35.333333333333336,1
TQ,2017-01-04,23.5,1
TR,2017-01-04,28.0,1
TS,2017-01-04,40.0,0
