region_id,timestamp,val_Temperature.mean,extra_rings_Temperature.mean
EC,2017-01-02,2.331944444444445,3
EH,2017-01-02,-2.15,0
EN,2017-01-02,0.2,1
EX,2017-01-02,1.825,0
FK,2017-01-02,1.5,0
FY,2017-01-02,-0.1,1
G,2017-01-02,0.0,0
GL,2017-01-02,-0.04999999999999997,1
GU,2017-01-02,2.6046875,1
GY,2017-01-02,,2
HA,2017-01-02,1.9125,1
HD,2017-01-02,0.4833333333333334,1
HG,2017-01-02,-0.2,0
HP,2017-01-02,0.12708333333333255,1
HR,2017-01-02,-0.4,0
HS,2017-01-02,,2
HU,2017-01-02,1.41875,1
HX,2017-01-02,-0.2,1
IG,2017-01-02,1.3333333333333333,2
IM,2017-01-02,,2
IP,2017-01-02,2.25,1
IV,2017-01-02,4.833333333333334,0
JE,2017-01-02,,2
KA,2017-01-02,3.0,0
KT,2017-01-02,2.77916666666667,1
KW,2017-01-02,6.2,0
KY,2017-01-02,0.5,0
L,2017-01-02,1.1314393939393936,2
LA,2017-01-02,-0.1,0
LD,2017-01-02,-1.0,0
LE,2017-01-02,0.95,1
LL,2017-01-02,2.4091666666666667,0
LN,2017-01-02,1.8,0
LS,2017-01-02,0.8791666666666665,1
LU,2017-01-02,0.2,1
M,2017-01-02,-0.7,1
ME,2017-01-02,2.2,0
MK,2017-01-02,0.15999999999999998,1
ML,2017-01-02,-1.6,0
N,2017-01-02,0.2,2
NE,2017-01-02,-1.3640151515151515,1
NG,2017-01-02,1.5699999999999998,1
NN,2017-01-02,0.14999999999999994,1
NP,2017-01-02,-0.09999999999999998,1
NR,2017-01-02,2.7,0
NW,2017-01-02,1.6305555555555566,2
OL,2017-01-02,-0.7,1
OX,2017-01-02,-0.4666666666666666,0
PA,2017-01-02,-0.26666666666666666,0
PE,2017-01-02,2.0,0
PH,2017-01-02,1.5599999999999998,0
PL,2017-01-02,3.2,0
PO,2017-01-02,3.1,0
PR,2017-01-02,-0.1,1
RG,2017-01-02,1.90833333333333,0
RH,2017-01-02,2.9333333333333336,1
RM,2017-01-02,2.2,1
S,2017-01-02,2.35,0
SA,2017-01-02,1.325,0
SE,2017-01-02,2.9697916666666675,2
SG,2017-01-02,0.2,0
SK,2017-01-02,-0.7,0
SL,2017-01-02,2.2,1
SM,2017-01-02,3.22638888888889,2
SN,2017-01-02,-0.5,0
SO,2017-01-02,1.85,0
SP,2017-01-02,1.448958333333333,0
SR,2017-01-02,-1.1,1
SS,2017-01-02,2.2,1
ST,2017-01-02,-1.8,0
SW,2017-01-02,2.77916666666667,1
SY,2017-01-02,0.3,0
TA,2017-01-02,0.7,0
TD,2017-01-02,-0.5,0
TF,2017-01-02,0.05000000000000005,1
