region_id,timestamp,val_SO2_max,extra_rings_SO2_max
HR,2017-01-02,41.75,2
HS,2017-01-02,,2
HU,2017-01-02,53.0,0
HX,2017-01-02,61.25,2
IG,2017-01-02,64.0,1
IM,2017-01-02,,2
IP,2017-01-02,75.0,2
IV,2017-01-02,3.0,2
JE,2017-01-02,,2
KA,2017-01-02,39.0,2
KT,2017-01-02,48.75,2
KW,2017-01-02,3.0,3
KY,2017-01-02,39.0,1
L,2017-01-02,97.0,0
LA,2017-01-02,75.0,2
LD,2017-01-02,30.66666666666667,1
LE,2017-01-02,75.0,1
LL,2017-01-02,75.0,0
LN,2017-01-02,75.0,1
LS,2017-01-02,53.0,0
LU,2017-01-02,80.5,3
M,2017-01-02,75.0,0
ME,2017-01-02,64.0,1
MK,2017-01-02,75.0,2
ML,2017-01-02,39.0,1
N,2017-01-02,91.5,1
NE,2017-01-02,75.0,2
NG,2017-01-02,75.0,0
NN,2017-01-02,75.0,2
NP,2017-01-02,86.0,1
NR,2017-01-02,75.0,2
NW,2017-01-02,130.0,0
OL,2017-01-02,75.0,1
OX,2017-01-02,78.0,2
PA,2017-01-02,3.0,1
PE,2017-01-02,75.0,1
PH,2017-01-02,3.0,1
PL,2017-01-02,58.0,2
PO,2017-01-02,28.0,1
PR,2017-01-02,97.0,1
RG,2017-01-02,53.0,1
RH,2017-01-02,3.0,1
RM,2017-01-02,64.0,0
S,2017-01-02,58.5,0
SA,2017-01-02,3.0,0
SE,2017-01-02,58.5,1
SG,2017-01-02,89.66666666666669,2
SK,2017-01-02,64.0,1
SL,2017-01-02,68.0,2
SM,2017-01-02,69.5,2
SN,2017-01-02,103.0,1
SO,2017-01-02,53.0,0
SP,2017-01-02,78.0,1
SR,2017-01-02,75.0,1
SS,2017-01-02,64.0,1
ST,2017-01-02,66.75,2
SW,2017-01-02,69.5,1
SY,2017-01-02,27.0,1
TA,2017-01-02,58.0,0
TD,2017-01-02,75.0,1
TF,2017-01-02,27.0,2
TN,2017-01-02,3.0,1
TQ,2017-01-02,58.0,2
TR,2017-01-02,58.0,3
TS,2017-01-02,75.0,0
TW,2017-01-02,86.0,1
UB,2017-01-02,86.0,1
W,2017-01-02,86.0,0
WA,2017-01-02,86.0,1
WC,2017-01-02,53.0,0
WD,2017-01-02,130.0,1
WF,2017-01-02,56.66666666666666,1
WN,2017-01-02,86.0,1
WR,2017-01-02,27.0,2
WS,2017-01-02,64.0,2
WV,2017-01-02,27.0,2
YO,2017-01-02,60.33333333333334,1
ZE,2017-01-02,,2
AB,2017-01-03,3.0,2
AL,2017-01-03,52.0,2
B,2017-01-03,64.0,2
BA,2017-01-03,22.0,0
BB,2017-01-03,53.0,2
BD,2017-01-03,53.0,1
BH,2017-01-03,3.0,1
BL,2017-01-03,53.0,1
BN,2017-01-03,3.0,0
BR,2017-01-03,51.0,2
BS,2017-01-03,43.5,1
BT,2017-01-03,64.0,0
CA,2017-01-03,64.0,2
CB,2017-01-03,69.5,2
CF,2017-01-03,43.0,0
CH,2017-01-03,64.0,1
CM,2017-01-03,75.0,1
CO,2017-01-03,75.0,2
CR,2017-01-03,59.75,2
CT,2017-01-03,39.0,2
CV,2017-01-03,64.0,2
CW,2017-01-03,45.0,2
DA,2017-01-03,75.0,1
DD,2017-01-03,33.5,2
DE,2017-01-03,64.0,1
DG,2017-01-03,33.5,2
DH,2017-01-03,64.0,1
DL,2017-01-03,64.0,1
DN,2017-01-03,66.75,1
DT,2017-01-03,43.5,1
DY,2017-01-03,27.0,2
E,2017-01-03,67.33333333333333,2
EC,2017-01-03,75.0,1
EH,2017-01-03,64.0,0
EN,2017-01-03,52.0,1
EX,2017-01-03,65.0,1
FK,2017-01-03,3.0,0
FY,2017-01-03,53.0,2
G,2017-01-03,3.0,1
GL,2017-01-03,43.33333333333334,2
GU,2017-01-03,3.0,1
GY,2017-01-03,,2
HA,2017-01-03,69.0,1
HD,2017-01-03,64.0,1
HG,2017-01-03,53.0,1
HP,2017-01-03,27.5,2
HR,2017-01-03,31.0,2
HS,2017-01-03,,2
HU,2017-01-03,75.0,0
HX,2017-01-03,58.5,2
IG,2017-01-03,75.0,1
IM,2017-01-03,,2
IP,2017-01-03,64.0,2
IV,2017-01-03,3.0,2
JE,2017-01-03,,2
KA,2017-01-03,33.5,2
KT,2017-01-03,41.75,2
KW,2017-01-03,3.0,3
KY,2017-01-03,33.5,1
L,2017-01-03,53.0,0
LA,2017-01-03,56.66666666666666,2
LD,2017-01-03,16.333333333333332,1
LE,2017-01-03,64.0,1
LL,2017-01-03,75.0,0
LN,2017-01-03,64.0,1
LS,2017-01-03,53.0,0
LU,2017-01-03,48.5,3
M,2017-01-03,53.0,0
ME,2017-01-03,75.0,1
MK,2017-01-03,64.0,2
ML,2017-01-03,33.5,1
N,2017-01-03,63.5,1
NE,2017-01-03,64.0,2
NG,2017-01-03,64.0,0
NN,2017-01-03,64.0,2
NP,2017-01-03,43.0,1
NR,2017-01-03,64.0,2
NW,2017-01-03,52.0,0
OL,2017-01-03,53.0,1
OX,2017-01-03,12.5,2
PA,2017-01-03,3.0,1
PE,2017-01-03,64.0,1
PH,2017-01-03,3.0,1
PL,2017-01-03,65.0,2
PO,2017-01-03,3.0,1
PR,2017-01-03,53.0,1
RG,2017-01-03,3.0,1
RH,2017-01-03,3.0,1
RM,2017-01-03,75.0,0
S,2017-01-03,64.0,0
SA,2017-01-03,3.0,0
SE,2017-01-03,75.0,1
SG,2017-01-03,63.66666666666666,2
SK,2017-01-03,60.33333333333334,1
SL,2017-01-03,36.0,2
SM,2017-01-03,80.5,2
SN,2017-01-03,22.0,1
SO,2017-01-03,3.0,0
SP,2017-01-03,12.5,1
SR,2017-01-03,64.0,1
SS,2017-01-03,75.0,1
ST,2017-01-03,61.25,2
SW,2017-01-03,80.5,1
SY,2017-01-03,27.0,1
TA,2017-01-03,65.0,0
TD,2017-01-03,64.0,1
TF,2017-01-03,27.0,2
TN,2017-01-03,3.0,1
TQ,2017-01-03,65.0,2
TR,2017-01-03,65.0,3
TS,2017-01-03,64.0,0
TW,2017-01-03,86.0,1
UB,2017-01-03,86.0,1
W,2017-01-03,86.0,0
WA,2017-01-03,53.0,1
WC,2017-01-03,75.0,0
WD,2017-01-03,52.0,1
WF,2017-01-03,60.33333333333334,1
WN,2017-01-03,53.0,1
WR,2017-01-03,27.0,2
WS,2017-01-03,64.0,2
WV,2017-01-03,27.0,2
YO,2017-01-03,64.0,1
ZE,2017-01-03,,2
AB,2017-01-04,64.0,2
AL,2017-01-04,108.0,2
B,2017-01-04,71.33333333333333,2
BA,2017-01-04,28.0,0
BB,2017-01-04,67.66666666666667,2
BD,2017-01-04,53.0,1
BH,2017-01-04,53.0,1
BL,2017-01-04,53.0,1
BN,2017-01-04,53.0,0
BR,2017-01-04,58.5,2
BS,2017-01-04,40.0,1
BT,2017-01-04,69.66666666666667,0
CA,2017-01-04,86.0,2
CB,2017-01-04,75.0,2
CF,2017-01-04,108.0,0
CH,2017-01-04,108.0,1
CM,2017-01-04,53.0,1
CO,2017-01-04,53.0,2
CR,2017-01-04,61.8,2
CT,2017-01-04,53.0,1
CV,2017-01-04,71.33333333333333,2
CW,2017-01-04,63.14285714285714,2
DA,2017-01-04,53.0,1
DD,2017-01-04,64.0,2
DE,2017-01-04,71.33333333333333,1
DG,2017-01-04,64.0,2
DH,2017-01-04,108.0,1
DL,2017-01-04,108.0,1
DN,2017-01-04,80.5,1
DT,2017-01-04,40.0,1
DY,2017-01-04,58.33333333333334,2
E,2017-01-04,78.66666666666667,2
EC,2017-01-04,75.0,1
EH,2017-01-04,64.0,0
EN,2017-01-04,108.0,1
EX,2017-01-04,52.0,1
FK,2017-01-04,64.0,0
FY,2017-01-04,97.0,2
G,2017-01-04,64.0,1
GL,2017-01-04,62.66666666666666,2
GU,2017-01-04,53.0,1
GY,2017-01-04,,2
HA,2017-01-04,91.5,1
HD,2017-01-04,58.5,1
HG,2017-01-04,53.0,1
HP,2017-01-04,80.5,2
HR,2017-01-04,70.75,2
HS,2017-01-04,,2
HU,2017-01-04,108.0,0
HX,2017-01-04,55.75,2
IG,2017-01-04,53.0,1
IM,2017-01-04,,2
IP,2017-01-04,97.0,2
IV,2017-01-04,64.0,2
JE,2017-01-04,,2
KA,2017-01-04,64.0,2
KT,2017-01-04,64.0,2
KW,2017-01-04,64.0,3
KY,2017-01-04,64.0,1
L,2017-01-04,97.0,0
LA,2017-01-04,86.0,2
LD,2017-01-04,54.66666666666666,1
LE,2017-01-04,97.0,1
LL,2017-01-04,119.0,0
LN,2017-01-04,97.0,1
LS,2017-01-04,53.0,0
