region_id,timestamp,val_Humidity.max,extra_rings_Humidity.max
GU,2017-01-02,90.15,1
GY,2017-01-02,,2
HA,2017-01-02,96.5,1
HD,2017-01-02,90.8,1
HG,2017-01-02,74.1,0
HP,2017-01-02,96.225,1
HR,2017-01-02,95.6,0
HS,2017-01-02,,2
HU,2017-01-02,91.425,1
HX,2017-01-02,83.7,1
IG,2017-01-02,90.66666666666669,2
IM,2017-01-02,,2
IP,2017-01-02,85.575,1
IV,2017-01-02,85.60000000000002,0
JE,2017-01-02,,2
KA,2017-01-02,65.6,0
KT,2017-01-02,94.5,1
KW,2017-01-02,62.9,0
KY,2017-01-02,75.4,0
L,2017-01-02,87.54545454545455,2
LA,2017-01-02,81.9,0
LD,2017-01-02,90.7,0
LE,2017-01-02,87.55,1
LL,2017-01-02,81.5,0
LN,2017-01-02,90.75,0
LS,2017-01-02,87.25,1
LU,2017-01-02,96.0,1
M,2017-01-02,99.3,1
ME,2017-01-02,89.1,0
MK,2017-01-02,94.29999999999998,1
ML,2017-01-02,90.1,0
N,2017-01-02,96.0,2
NE,2017-01-02,85.82222222222224,1
NG,2017-01-02,89.2,1
NN,2017-01-02,93.875,1
NP,2017-01-02,91.95,1
NR,2017-01-02,84.15,0
NW,2017-01-02,95.66666666666669,2
OL,2017-01-02,99.3,1
OX,2017-01-02,96.13333333333333,0
PA,2017-01-02,87.93333333333334,0
PE,2017-01-02,87.1,0
PH,2017-01-02,72.22,0
PL,2017-01-02,82.7,0
PO,2017-01-02,85.825,0
PR,2017-01-02,81.9,1
RG,2017-01-02,96.5,0
RH,2017-01-02,88.13333333333333,1
RM,2017-01-02,89.1,1
S,2017-01-02,89.4,0
SA,2017-01-02,85.0,0
SE,2017-01-02,89.77499999999998,2
SG,2017-01-02,96.0,0
SK,2017-01-02,99.3,0
SL,2017-01-02,95.83333333333331,1
SM,2017-01-02,90.0,2
SN,2017-01-02,93.4,0
SO,2017-01-02,98.0,0
SP,2017-01-02,91.95000000000002,0
SR,2017-01-02,92.6,1
SS,2017-01-02,89.1,1
ST,2017-01-02,89.7,0
SW,2017-01-02,94.5,1
SY,2017-01-02,93.575,0
TA,2017-01-02,95.2,0
TD,2017-01-02,84.75,0
TF,2017-01-02,91.11666666666667,1
TN,2017-01-02,87.75,0
TQ,2017-01-02,86.65,0
TR,2017-01-02,82.7,1
TS,2017-01-02,92.6,0
TW,2017-01-02,94.5,0
UB,2017-01-02,96.5,0
W,2017-01-02,95.5,1
WA,2017-01-02,99.3,1
WC,2017-01-02,95.5,2
WD,2017-01-02,96.5,1
WF,2017-01-02,89.8,1
WN,2017-01-02,90.6,2
WR,2017-01-02,93.98,1
WS,2017-01-02,86.8,1
WV,2017-01-02,82.7,0
YO,2017-01-02,91.425,0
ZE,2017-01-02,,2
AB,2017-01-03,74.75,0
AL,2017-01-03,88.6,1
B,2017-01-03,86.4,1
BA,2017-01-03,93.6875,1
BB,2017-01-03,89.05000000000003,1
BD,2017-01-03,85.9,0
BH,2017-01-03,89.43333333333334,0
BL,2017-01-03,88.2,2
BN,2017-01-03,98.0,0
BR,2017-01-03,91.25,1
BS,2017-01-03,94.6,0
BT,2017-01-03,91.10909090909092,0
CA,2017-01-03,88.73333333333332,0
CB,2017-01-03,69.0,0
CF,2017-01-03,89.05714285714285,1
CH,2017-01-03,85.72222222222223,1
CM,2017-01-03,78.8,1
CO,2017-01-03,69.0,1
CR,2017-01-03,93.3,1
CT,2017-01-03,82.7,1
CV,2017-01-03,91.7,1
CW,2017-01-03,87.21666666666665,1
DA,2017-01-03,82.7,1
DD,2017-01-03,85.6,0
DE,2017-01-03,86.4,0
DG,2017-01-03,95.35,0
DH,2017-01-03,86.0,1
DL,2017-01-03,88.2,0
DN,2017-01-03,89.88571428571426,1
DT,2017-01-03,89.75,0
DY,2017-01-03,83.32000000000002,1
E,2017-01-03,88.6,2
EC,2017-01-03,89.50000000000001,3
EH,2017-01-03,84.66666666666667,0
EN,2017-01-03,88.6,1
EX,2017-01-03,95.90000000000002,0
FK,2017-01-03,79.0,0
FY,2017-01-03,92.2,1
G,2017-01-03,84.80000000000003,0
GL,2017-01-03,90.9,0
GU,2017-01-03,90.74444444444444,1
GY,2017-01-03,,2
HA,2017-01-03,96.6,1
HD,2017-01-03,86.76666666666668,1
HG,2017-01-03,89.6,0
HP,2017-01-03,94.35,1
HR,2017-01-03,86.2142857142857,1
HS,2017-01-03,,2
HU,2017-01-03,87.225,1
HX,2017-01-03,85.9,1
IG,2017-01-03,74.39999999999998,2
IM,2017-01-03,,2
IP,2017-01-03,85.0,1
IV,2017-01-03,89.91666666666664,0
JE,2017-01-03,,2
KA,2017-01-03,76.1,0
KT,2017-01-03,96.6,1
KW,2017-01-03,98.6,0
KY,2017-01-03,90.4,0
L,2017-01-03,86.38181818181818,2
LA,2017-01-03,92.2,0
LD,2017-01-03,86.15,0
LE,2017-01-03,88.6,1
LL,2017-01-03,86.24,0
LN,2017-01-03,96.2,0
LS,2017-01-03,87.39999999999998,1
LU,2017-01-03,88.6,1
M,2017-01-03,86.5,1
ME,2017-01-03,65.6,0
MK,2017-01-03,92.11999999999998,1
ML,2017-01-03,88.3,0
N,2017-01-03,88.6,2
NE,2017-01-03,86.71,1
NG,2017-01-03,91.5,1
NN,2017-01-03,93.0,1
NP,2017-01-03,89.44999999999997,1
NR,2017-01-03,90.1,0
NW,2017-01-03,93.66666666666669,2
OL,2017-01-03,86.5,1
OX,2017-01-03,93.73333333333332,0
PA,2017-01-03,93.23333333333336,0
PE,2017-01-03,90.8,0
PH,2017-01-03,77.14,0
PL,2017-01-03,69.8,0
PO,2017-01-03,82.80000000000003,0
PR,2017-01-03,92.2,1
RG,2017-01-03,96.2,0
RH,2017-01-03,97.4,0
RM,2017-01-03,65.6,1
S,2017-01-03,87.9,0
SA,2017-01-03,90.22,0
SE,2017-01-03,88.26000000000002,2
SG,2017-01-03,88.6,0
SK,2017-01-03,86.5,0
SL,2017-01-03,96.2,1
SM,2017-01-03,93.925,2
SN,2017-01-03,94.46666666666668,1
SO,2017-01-03,98.1,0
SP,2017-01-03,95.76666666666668,0
SR,2017-01-03,83.8,1
SS,2017-01-03,65.6,1
ST,2017-01-03,96.5,0
SW,2017-01-03,95.8,1
SY,2017-01-03,85.075,0
TA,2017-01-03,94.05,0
TD,2017-01-03,82.16666666666667,0
TF,2017-01-03,85.51666666666667,1
TN,2017-01-03,91.25,0
TQ,2017-01-03,85.65,0
TR,2017-01-03,69.8,1
TS,2017-01-03,83.8,0
TW,2017-01-03,95.8,0
UB,2017-01-03,96.6,0
W,2017-01-03,96.2,1
WA,2017-01-03,86.5,1
WC,2017-01-03,96.2,2
WD,2017-01-03,96.6,1
WF,2017-01-03,87.11666666666666,1
WN,2017-01-03,89.35,2
WR,2017-01-03,86.24000000000002,1
WS,2017-01-03,86.39999999999998,1
WV,2017-01-03,76.3,0
YO,2017-01-03,87.225,0
ZE,2017-01-03,,2
AB,2017-01-04,78.07499999999997,0
AL,2017-01-04,90.55,1
B,2017-01-04,93.5,1
BA,2017-01-04,86.0,0
BB,2017-01-04,79.85,1
BD,2017-01-04,85.0,0
BH,2017-01-04,88.96666666666665,0
BL,2017-01-04,83.93333333333334,2
BN,2017-01-04,91.2,0
BR,2017-01-04,81.3,1
BS,2017-01-04,85.0,0
BT,2017-01-04,94.27272727272728,0
CA,2017-01-04,84.86666666666666,0
CB,2017-01-04,88.1,0
CF,2017-01-04,88.44285714285715,1
CH,2017-01-04,90.01111111111112,1
CM,2017-01-04,88.39999999999998,1
CO,2017-01-04,84.9,0
CR,2017-01-04,81.86666666666666,1
CT,2017-01-04,82.96666666666665,1
CV,2017-01-04,86.03333333333335,1
CW,2017-01-04,90.36666666666667,1
DA,2017-01-04,82.96666666666667,1
DD,2017-01-04,72.0,0
DE,2017-01-04,93.5,0
DG,2017-01-04,88.10000000000002,0
DH,2017-01-04,74.6,1
DL,2017-01-04,81.4,0
DN,2017-01-04,80.75,1
DT,2017-01-04,92.65,0
DY,2017-01-04,88.35,1
E,2017-01-04,92.2,2
EC,2017-01-04,85.34285714285714,3
EH,2017-01-04,58.53333333333333,0
EN,2017-01-04,92.2,1
EX,2017-01-04,82.35,0
FK,2017-01-04,60.8,0
FY,2017-01-04,74.7,1
G,2017-01-04,72.1,0
GL,2017-01-04,84.5,0
GU,2017-01-04,86.24,1
GY,2017-01-04,,2
HA,2017-01-04,85.7,1
HD,2017-01-04,86.375,1
HG,2017-01-04,73.6,0
HP,2017-01-04,88.9,0
HR,2017-01-04,79.6,0
HS,2017-01-04,,2
HU,2017-01-04,77.05000000000003,1
HX,2017-01-04,85.0,1
IG,2017-01-04,87.875,2
IM,2017-01-04,,2
IP,2017-01-04,76.24,1
IV,2017-01-04,73.43333333333334,0
JE,2017-01-04,,2
KA,2017-01-04,82.9,0
KT,2017-01-04,85.3,1
KW,2017-01-04,73.43333333333334,1
KY,2017-01-04,60.2,0
L,2017-01-04,88.8090909090909,2
LA,2017-01-04,74.7,0
LD,2017-01-04,87.85,0
LE,2017-01-04,84.4,1
LL,2017-01-04,91.34,0
LN,2017-01-04,84.69999999999997,0
LS,2017-01-04,78.34285714285714,1
LU,2017-01-04,90.55,1
M,2017-01-04,92.1,1
ME,2017-01-04,86.3,0
MK,2017-01-04,85.01666666666667,1
ML,2017-01-04,80.2,0
N,2017-01-04,92.2,2
NE,2017-01-04,78.79999999999998,1
NG,2017-01-04,85.0,1
NN,2017-01-04,82.25,1
NP,2017-01-04,84.88333333333334,1
NR,2017-01-04,66.45,0
NW,2017-01-04,88.60000000000002,2
OL,2017-01-04,92.1,1
OX,2017-01-04,84.56666666666666,0
PA,2017-01-04,79.33333333333333,0
PE,2017-01-04,75.3,0
PH,2017-01-04,64.53333333333335,0
PL,2017-01-04,71.2,0
PO,2017-01-04,81.25,0
PR,2017-01-04,74.7,1
RG,2017-01-04,84.4,0
RH,2017-01-04,83.0,0
RM,2017-01-04,86.3,1
S,2017-01-04,86.8,0
SA,2017-01-04,88.68,0
SE,2017-01-04,83.9,2
SG,2017-01-04,92.2,0
SK,2017-01-04,92.1,0
SL,2017-01-04,86.65,1
SM,2017-01-04,83.3,2
SN,2017-01-04,85.39999999999998,1
SO,2017-01-04,100.0,0
SP,2017-01-04,86.675,0
SR,2017-01-04,67.8,1
SS,2017-01-04,86.3,1
ST,2017-01-04,96.7,0
SW,2017-01-04,87.6,1
SY,2017-01-04,88.35,0
TA,2017-01-04,81.85,0
TD,2017-01-04,65.8,0
TF,2017-01-04,90.02,1
TN,2017-01-04,81.3,0
TQ,2017-01-04,74.6,0
TR,2017-01-04,71.2,1
TS,2017-01-04,67.8,0
TW,2017-01-04,87.6,0
UB,2017-01-04,85.7,0
W,2017-01-04,86.65,1
WA,2017-01-04,92.1,1
WC,2017-01-04,86.65,2
WD,2017-01-04,87.30000000000003,1
WF,2017-01-04,81.6,0
WN,2017-01-04,83.4,2
WR,2017-01-04,86.0,1
WS,2017-01-04,95.1,1
WV,2017-01-04,90.02000000000002,1
YO,2017-01-04,77.05000000000003,0
ZE,2017-01-04,,2
AB,2017-01-05,91.2,0
AL,2017-01-05,88.8,1
B,2017-01-05,81.9,1
BA,2017-01-05,92.5,1
BB,2017-01-05,95.6,1
BD,2017-01-05,95.6,0
BH,2017-01-05,90.7,0
BL,2017-01-05,95.9,2
BN,2017-01-05,94.1,0
BR,2017-01-05,87.30000000000003,1
BS,2017-01-05,90.7,0
BT,2017-01-05,87.42,0
CA,2017-01-05,87.7,0
CB,2017-01-05,89.8,1
CF,2017-01-05,91.16,1
CH,2017-01-05,85.46666666666665,1
CM,2017-01-05,91.2,1
CO,2017-01-05,93.6,0
CR,2017-01-05,87.30000000000003,1
CT,2017-01-05,89.89999999999998,1
CV,2017-01-05,87.89999999999998,1
CW,2017-01-05,90.65,1
DA,2017-01-05,89.90000000000002,1
DD,2017-01-05,91.7,1
DE,2017-01-05,81.9,0
DG,2017-01-05,84.25,0
DH,2017-01-05,89.7,1
DL,2017-01-05,88.2,0
DN,2017-01-05,91.64285714285714,1
DT,2017-01-05,89.6,0
DY,2017-01-05,91.35,1
E,2017-01-05,88.8,2
EC,2017-01-05,90.85,3
EH,2017-01-05,89.75,0
EN,2017-01-05,88.8,1
EX,2017-01-05,82.425,0
FK,2017-01-05,91.2125,1
FY,2017-01-05,88.75,2
G,2017-01-05,87.9,0
GL,2017-01-05,88.25,0
GU,2017-01-05,88.7777777777778,1
GY,2017-01-05,,2
HA,2017-01-05,92.8,1
HD,2017-01-05,93.3,1
HG,2017-01-05,82.1,0
HP,2017-01-05,91.325,1
HR,2017-01-05,88.6,0
HS,2017-01-05,,2
HU,2017-01-05,91.725,1
HX,2017-01-05,95.6,1
IG,2017-01-05,92.5,2
IM,2017-01-05,,2
IP,2017-01-05,92.725,1
IV,2017-01-05,76.35000000000002,0
JE,2017-01-05,,2
KA,2017-01-05,58.3,0
KT,2017-01-05,93.8,1
KW,2017-01-05,85.9,0
KY,2017-01-05,91.1,1
L,2017-01-05,87.0,2
LA,2017-01-05,88.75,1
LD,2017-01-05,91.2,0
LE,2017-01-05,84.45,1
LL,2017-01-05,82.525,0
LN,2017-01-05,93.25,0
LS,2017-01-05,90.76666666666668,1
LU,2017-01-05,88.8,1
M,2017-01-05,96.2,1
ME,2017-01-05,95.1,0
MK,2017-01-05,88.96000000000002,1
ML,2017-01-05,82.7,0
N,2017-01-05,88.8,2
NE,2017-01-05,89.15555555555555,1
NG,2017-01-05,88.7,1
NN,2017-01-05,89.0,1
NP,2017-01-05,89.7,1
NR,2017-01-05,95.15,0
NW,2017-01-05,91.8,2
OL,2017-01-05,96.2,1
OX,2017-01-05,89.66666666666669,0
PA,2017-01-05,97.35,0
PE,2017-01-05,87.0,0
PH,2017-01-05,92.45,0
PL,2017-01-05,71.6,0
PO,2017-01-05,81.125,0
PR,2017-01-05,88.75,2
RG,2017-01-05,96.3,0
RH,2017-01-05,90.7,1
RM,2017-01-05,95.1,1
S,2017-01-05,88.1,0
SA,2017-01-05,91.13333333333333,0
SE,2017-01-05,90.875,2
SG,2017-01-05,88.8,0
SK,2017-01-05,96.2,0
SL,2017-01-05,94.3,1
SM,2017-01-05,89.46666666666665,2
SN,2017-01-05,95.4,0
SO,2017-01-05,96.2,0
SP,2017-01-05,95.76666666666668,0
SR,2017-01-05,91.2,1
SS,2017-01-05,95.1,1
ST,2017-01-05,83.7,0
SW,2017-01-05,93.8,1
SY,2017-01-05,91.35,0
TA,2017-01-05,89.94999999999997,0
TD,2017-01-05,94.0,0
TF,2017-01-05,88.8,1
TN,2017-01-05,87.30000000000003,0
TQ,2017-01-05,68.9,0
TR,2017-01-05,71.6,1
TS,2017-01-05,91.2,0
TW,2017-01-05,93.8,0
UB,2017-01-05,92.8,0
W,2017-01-05,93.3,1
WA,2017-01-05,96.2,1
WC,2017-01-05,93.3,2
WD,2017-01-05,92.8,1
WF,2017-01-05,91.76666666666668,1
WN,2017-01-05,96.2,2
WR,2017-01-05,89.55999999999997,1
WS,2017-01-05,82.80000000000003,1
WV,2017-01-05,88.8,1
YO,2017-01-05,91.725,0
ZE,2017-01-05,,2
AB,2017-01-06,93.35,0
AL,2017-01-06,93.1,1
B,2017-01-06,90.3,1
BA,2017-01-06,85.6,0
BB,2017-01-06,93.6,1
BD,2017-01-06,90.6,0
BH,2017-01-06,92.93333333333334,0
BL,2017-01-06,88.56666666666666,2
BN,2017-01-06,97.5,0
BR,2017-01-06,86.85,1
BS,2017-01-06,88.9,0
BT,2017-01-06,94.17,0
CA,2017-01-06,94.23333333333332,0
CB,2017-01-06,90.1,0
CF,2017-01-06,90.64285714285714,1
CH,2017-01-06,88.95555555555555,1
CM,2017-01-06,90.76666666666664,1
CO,2017-01-06,84.3,0
CR,2017-01-06,89.2,1
CT,2017-01-06,85.3,1
CV,2017-01-06,88.02,1
CW,2017-01-06,87.55000000000003,1
DA,2017-01-06,85.3,1
DD,2017-01-06,98.3,0
DE,2017-01-06,90.3,0
DG,2017-01-06,100.0,0
DH,2017-01-06,91.45,1
DL,2017-01-06,96.4,0
DN,2017-01-06,93.125,1
DT,2017-01-06,76.95,0
DY,2017-01-06,90.125,1
E,2017-01-06,97.9,2
EC,2017-01-06,91.9,3
EH,2017-01-06,86.53333333333335,0
EN,2017-01-06,97.9,1
EX,2017-01-06,79.94999999999997,0
FK,2017-01-06,86.2,0
FY,2017-01-06,96.6,1
G,2017-01-06,98.6,0
GL,2017-01-06,90.0,0
GU,2017-01-06,90.54444444444445,1
GY,2017-01-06,,2
HA,2017-01-06,97.2,1
HD,2017-01-06,87.8,1
HG,2017-01-06,94.3,0
HP,2017-01-06,88.3,0
HR,2017-01-06,79.6,0
HS,2017-01-06,,2
HU,2017-01-06,95.625,1
HX,2017-01-06,90.6,1
IG,2017-01-06,88.625,2
IM,2017-01-06,,2
IP,2017-01-06,85.19999999999997,1
IV,2017-01-06,87.78333333333335,0
JE,2017-01-06,,2
KA,2017-01-06,98.6,0
KT,2017-01-06,96.15,1
KW,2017-01-06,87.0,0
KY,2017-01-06,98.4,0
L,2017-01-06,88.7,2
LA,2017-01-06,96.6,0
LD,2017-01-06,79.25,0
LE,2017-01-06,90.3,1
LL,2017-01-06,88.02000000000002,0
LN,2017-01-06,90.2,0
LS,2017-01-06,93.44285714285715,1
LU,2017-01-06,93.1,1
M,2017-01-06,78.5,1
ME,2017-01-06,82.2,0
MK,2017-01-06,89.2,1
ML,2017-01-06,94.4,0
N,2017-01-06,97.9,2
NE,2017-01-06,94.36999999999998,1
NG,2017-01-06,91.525,1
NN,2017-01-06,86.59999999999998,1
NP,2017-01-06,83.4,1
NR,2017-01-06,83.19999999999997,0
NW,2017-01-06,95.45000000000002,2
OL,2017-01-06,78.5,1
OX,2017-01-06,86.59999999999998,0
PA,2017-01-06,98.93333333333334,0
PE,2017-01-06,89.13333333333333,1
PH,2017-01-06,92.22,0
PL,2017-01-06,80.0,0
PO,2017-01-06,81.64999999999998,0
PR,2017-01-06,96.6,1
RG,2017-01-06,98.5,0
RH,2017-01-06,93.9,0
RM,2017-01-06,82.2,1
S,2017-01-06,95.4,0
SA,2017-01-06,95.2,0
SE,2017-01-06,89.63999999999999,2
SG,2017-01-06,97.9,0
SK,2017-01-06,78.5,0
SL,2017-01-06,95.6,1
SM,2017-01-06,91.5,2
SN,2017-01-06,89.57272727272726,1
SO,2017-01-06,100.0,0
SP,2017-01-06,90.625,0
SR,2017-01-06,86.5,1
SS,2017-01-06,82.2,1
ST,2017-01-06,86.3,0
SW,2017-01-06,98.4,1
SY,2017-01-06,90.125,0
TA,2017-01-06,85.19999999999997,0
TD,2017-01-06,93.96666666666664,0
TF,2017-01-06,89.36,1
TN,2017-01-06,86.85,0
TQ,2017-01-06,74.0,0
TR,2017-01-06,80.0,1
TS,2017-01-06,86.5,0
TW,2017-01-06,98.4,0
UB,2017-01-06,97.2,0
W,2017-01-06,97.8,1
WA,2017-01-06,78.5,1
WC,2017-01-06,97.8,2
WD,2017-01-06,92.75,1
WF,2017-01-06,86.7,0
WN,2017-01-06,87.55,2
WR,2017-01-06,88.35000000000002,1
WS,2017-01-06,88.3,1
WV,2017-01-06,89.36000000000001,1
YO,2017-01-06,95.625,0
ZE,2017-01-06,,2
AB,2017-01-07,97.725,0
AL,2017-01-07,98.6,1
B,2017-01-07,98.5,1
BA,2017-01-07,98.24444444444444,1
BB,2017-01-07,92.05,1
BD,2017-01-07,84.1,0
BH,2017-01-07,96.36666666666667,0
BL,2017-01-07,94.23333333333332,2
BN,2017-01-07,97.8,0
BR,2017-01-07,97.95,1
BS,2017-01-07,100.0,0
BT,2017-01-07,93.46,0
CA,2017-01-07,97.26666666666668,0
CB,2017-01-07,98.6,0
CF,2017-01-07,97.34999999999998,1
CH,2017-01-07,97.58888888888892,1
CM,2017-01-07,99.3,1
CO,2017-01-07,98.6,1
CR,2017-01-07,97.95,1
CT,2017-01-07,98.16666666666669,1
CV,2017-01-07,97.5,1
CW,2017-01-07,97.95,1
DA,2017-01-07,98.16666666666669,1
DD,2017-01-07,97.0625,1
DE,2017-01-07,98.5,0
DG,2017-01-07,99.3,0
DH,2017-01-07,94.7,1
DL,2017-01-07,90.9,0
DN,2017-01-07,96.575,1
DT,2017-01-07,96.05,0
DY,2017-01-07,97.54,1
E,2017-01-07,100.0,2
EC,2017-01-07,98.84999999999998,3
EH,2017-01-07,92.36666666666667,0
EN,2017-01-07,100.0,1
EX,2017-01-07,97.7,0
FK,2017-01-07,92.8,0
FY,2017-01-07,100.0,1
G,2017-01-07,98.45,0
GL,2017-01-07,94.6,0
GU,2017-01-07,98.7625,1
GY,2017-01-07,,2
HA,2017-01-07,98.6,1
HD,2017-01-07,92.65,1
HG,2017-01-07,95.5,0
HP,2017-01-07,97.2,0
HR,2017-01-07,98.6,0
HS,2017-01-07,,2
HU,2017-01-07,96.975,1
HX,2017-01-07,84.1,1
IG,2017-01-07,99.06666666666666,2
IM,2017-01-07,,2
IP,2017-01-07,97.8,1
IV,2017-01-07,97.2,0
JE,2017-01-07,,2
KA,2017-01-07,93.3,0
KT,2017-01-07,100.0,1
KW,2017-01-07,96.1,0
KY,2017-01-07,96.4,0
L,2017-01-07,97.9,2
LA,2017-01-07,100.0,0
LD,2017-01-07,94.7,0
LE,2017-01-07,97.05,1
LL,2017-01-07,97.84,0
LN,2017-01-07,98.4,0
LS,2017-01-07,94.02857142857144,1
LU,2017-01-07,98.6,1
M,2017-01-07,98.6,1
ME,2017-01-07,98.6,0
MK,2017-01-07,97.86666666666667,1
ML,2017-01-07,93.3,0
N,2017-01-07,100.0,2
NE,2017-01-07,96.21,1
NG,2017-01-07,97.62,1
NN,2017-01-07,97.5,1
NP,2017-01-07,96.52,1
NR,2017-01-07,98.5,0
NW,2017-01-07,98.95,2
OL,2017-01-07,98.6,1
OX,2017-01-07,98.13333333333333,0
PA,2017-01-07,97.7,0
PE,2017-01-07,95.6,0
PH,2017-01-07,96.4,0
PL,2017-01-07,100.0,0
PO,2017-01-07,98.16666666666669,0
PR,2017-01-07,100.0,1
RG,2017-01-07,100.0,0
RH,2017-01-07,97.875,1
RM,2017-01-07,98.6,1
