region_id,timestamp,val_Pressure.max,extra_rings_Pressure.max
LN,2017-01-02,1021.25,5
LS,2017-01-02,1012.4,6
LU,2017-01-02,1021.25,3
M,2017-01-02,1012.4,3
ME,2017-01-02,1027.7,4
MK,2017-01-02,1021.25,3
ML,2017-01-02,1012.4,7
N,2017-01-02,1027.15,3
NE,2017-01-02,1012.4,6
NG,2017-01-02,1019.48,5
NN,2017-01-02,1015.35,3
NP,2017-01-02,1014.3666666666667,3
NR,2017-01-02,1021.25,5
NW,2017-01-02,1027.15,2
OL,2017-01-02,1012.4,4
OX,2017-01-02,1015.35,2
PA,2017-01-02,1012.4,8
PE,2017-01-02,1021.25,4
PH,2017-01-02,1012.4,9
PL,2017-01-02,1015.35,3
PO,2017-01-02,1019.4666666666667,2
PR,2017-01-02,1012.4,3
RG,2017-01-02,1015.35,1
RH,2017-01-02,1027.7,2
RM,2017-01-02,1027.7,3
S,2017-01-02,1012.4,4
SA,2017-01-02,1012.4,2
SE,2017-01-02,1027.7,2
SG,2017-01-02,1026.6,3
SK,2017-01-02,1012.4,3
SL,2017-01-02,1027.15,1
SM,2017-01-02,1027.7,2
SN,2017-01-02,1015.35,1
SO,2017-01-02,1015.35,1
SP,2017-01-02,1015.35,0
SR,2017-01-02,1012.4,7
SS,2017-01-02,1027.15,4
ST,2017-01-02,1012.4,3
SW,2017-01-02,1027.7,1
SY,2017-01-02,1012.4,1
TA,2017-01-02,1015.35,2
TD,2017-01-02,1012.4,6
TF,2017-01-02,1012.4,2
TN,2017-01-02,1027.7,3
TQ,2017-01-02,1015.35,3
TR,2017-01-02,1015.35,4
TS,2017-01-02,1012.4,6
TW,2017-01-02,1027.7,0
UB,2017-01-02,1026.6,0
W,2017-01-02,1027.15,1
WA,2017-01-02,1012.4,2
WC,2017-01-02,1027.15,2
WD,2017-01-02,1026.6,1
WF,2017-01-02,1012.4,5
WN,2017-01-02,1012.4,3
WR,2017-01-02,1012.4,2
WS,2017-01-02,1012.4,3
WV,2017-01-02,1012.4,2
YO,2017-01-02,1012.4,6
ZE,2017-01-02,,2
AB,2017-01-03,1011.4,10
AL,2017-01-03,1026.2,2
B,2017-01-03,1011.4,3
BA,2017-01-03,1015.3,1
BB,2017-01-03,1011.4,4
BD,2017-01-03,1011.4,5
BH,2017-01-03,1015.3,1
BL,2017-01-03,1011.4,4
BN,2017-01-03,1027.3,2
BR,2017-01-03,1027.3,3
BS,2017-01-03,1015.3,2
BT,2017-01-03,,2
CA,2017-01-03,1011.4,5
CB,2017-01-03,1026.2,4
CF,2017-01-03,1011.4,3
CH,2017-01-03,1011.4,1
CM,2017-01-03,1026.2,3
CO,2017-01-03,1026.2,4
CR,2017-01-03,1027.3,2
CT,2017-01-03,1027.3,4
CV,2017-01-03,1014.0,3
CW,2017-01-03,1011.4,2
DA,2017-01-03,1027.3,3
DD,2017-01-03,1011.4,9
DE,2017-01-03,1014.0,4
DG,2017-01-03,1011.4,6
DH,2017-01-03,1011.4,6
DL,2017-01-03,1011.4,5
DN,2017-01-03,1011.4,5
DT,2017-01-03,1015.3,1
DY,2017-01-03,1011.4,2
E,2017-01-03,1026.75,3
EC,2017-01-03,1026.75,3
EH,2017-01-03,1011.4,7
EN,2017-01-03,1026.2,2
EX,2017-01-03,1015.3,2
FK,2017-01-03,1011.4,8
FY,2017-01-03,1011.4,4
G,2017-01-03,1011.4,8
GL,2017-01-03,1015.3,2
GU,2017-01-03,1027.3,1
GY,2017-01-03,,2
HA,2017-01-03,1026.2,1
HD,2017-01-03,1011.4,4
HG,2017-01-03,1011.4,6
HP,2017-01-03,1021.025,2
HR,2017-01-03,1011.4,2
HS,2017-01-03,,2
