region_id,timestamp,val_NO2_mean,extra_rings_NO2_mean
GU,2017-01-02,26.72727272727273,1
GY,2017-01-02,,2
HA,2017-01-02,43.0,1
HD,2017-01-02,25.777777777777782,1
HG,2017-01-02,21.0,1
HP,2017-01-02,3.0,0
HR,2017-01-02,40.66666666666666,1
HS,2017-01-02,,2
HU,2017-01-02,19.5,0
HX,2017-01-02,39.0,1
IG,2017-01-02,43.25,1
IM,2017-01-02,,2
IP,2017-01-02,13.666666666666664,1
IV,2017-01-02,14.0,0
JE,2017-01-02,,2
KA,2017-01-02,35.285714285714285,1
KT,2017-01-02,31.0,1
KW,2017-01-02,14.0,1
KY,2017-01-02,14.333333333333336,1
L,2017-01-02,32.0,0
LA,2017-01-02,30.8,1
LD,2017-01-02,27.42857142857143,1
LE,2017-01-02,35.666666666666664,0
LL,2017-01-02,35.0,1
LN,2017-01-02,37.0,0
LS,2017-01-02,24.0,0
LU,2017-01-02,51.0,0
M,2017-01-02,45.0,0
ME,2017-01-02,29.0,0
MK,2017-01-02,28.142857142857146,1
ML,2017-01-02,26.83333333333333,1
N,2017-01-02,35.0,0
NE,2017-01-02,19.5,0
NG,2017-01-02,44.5,0
NN,2017-01-02,16.0,0
NP,2017-01-02,40.66666666666666,0
NR,2017-01-02,18.0,0
NW,2017-01-02,55.5,0
OL,2017-01-02,47.0,0
OX,2017-01-02,29.0,0
PA,2017-01-02,32.625,1
PE,2017-01-02,31.363636363636363,1
PH,2017-01-02,11.0,0
PL,2017-01-02,20.0,0
PO,2017-01-02,20.0,0
PR,2017-01-02,38.0,0
RG,2017-01-02,37.0,0
RH,2017-01-02,31.0,0
RM,2017-01-02,33.0,0
S,2017-01-02,22.0,0
SA,2017-01-02,17.666666666666668,0
SE,2017-01-02,41.5,0
SG,2017-01-02,34.5,0
SK,2017-01-02,35.888888888888886,1
SL,2017-01-02,29.0,1
SM,2017-01-02,35.833333333333336,2
SN,2017-01-02,35.333333333333336,1
SO,2017-01-02,20.0,0
SP,2017-01-02,29.0,1
SR,2017-01-02,13.0,0
SS,2017-01-02,27.0,0
ST,2017-01-02,60.0,0
SW,2017-01-02,38.25,1
SY,2017-01-02,24.6,1
TA,2017-01-02,59.0,0
TD,2017-01-02,17.875,1
TF,2017-01-02,60.0,1
TN,2017-01-02,25.444444444444446,1
TQ,2017-01-02,4.0,0
TR,2017-01-02,20.0,1
TS,2017-01-02,14.25,0
TW,2017-01-02,34.666666666666664,1
UB,2017-01-02,34.0,0
W,2017-01-02,36.0,0
WA,2017-01-02,36.25,0
WC,2017-01-02,34.0,0
WD,2017-01-02,36.4,1
WF,2017-01-02,21.6,1
WN,2017-01-02,24.0,0
WR,2017-01-02,39.66666666666666,1
WS,2017-01-02,27.0,0
WV,2017-01-02,43.5,1
YO,2017-01-02,15.666666666666664,0
ZE,2017-01-02,,2
AB,2017-01-03,17.333333333333332,0
AL,2017-01-03,33.5,1
B,2017-01-03,39.333333333333336,0
BA,2017-01-03,72.0,0
BB,2017-01-03,23.0,0
BD,2017-01-03,22.0,0
BH,2017-01-03,34.0,0
BL,2017-01-03,24.5,1
BN,2017-01-03,35.0,0
BR,2017-01-03,39.333333333333336,1
BS,2017-01-03,56.0,0
BT,2017-01-03,21.8,0
CA,2017-01-03,17.0,0
CB,2017-01-03,15.0,0
CF,2017-01-03,21.0,0
CH,2017-01-03,12.5,0
CM,2017-01-03,41.0,1
CO,2017-01-03,24.0,0
CR,2017-01-03,42.0,1
CT,2017-01-03,34.0,0
CV,2017-01-03,29.33333333333333,0
CW,2017-01-03,21.375,1
DA,2017-01-03,30.0,0
DD,2017-01-03,14.0,1
DE,2017-01-03,26.09090909090909,1
DG,2017-01-03,11.0,0
DH,2017-01-03,10.5,1
DL,2017-01-03,13.454545454545455,1
DN,2017-01-03,18.0,0
DT,2017-01-03,41.0,1
DY,2017-01-03,29.8,1
E,2017-01-03,73.0,0
EC,2017-01-03,51.83333333333334,1
EH,2017-01-03,7.333333333333332,0
EN,2017-01-03,61.57142857142857,1
EX,2017-01-03,29.0,0
FK,2017-01-03,6.0,0
FY,2017-01-03,8.0,0
G,2017-01-03,24.4,0
GL,2017-01-03,44.77777777777778,1
GU,2017-01-03,39.27272727272727,1
GY,2017-01-03,,2
HA,2017-01-03,67.8,1
HD,2017-01-03,16.444444444444443,1
HG,2017-01-03,19.33333333333333,1
HP,2017-01-03,2.0,0
HR,2017-01-03,63.33333333333334,1
HS,2017-01-03,,2
HU,2017-01-03,30.0,0
HX,2017-01-03,24.66666666666667,1
IG,2017-01-03,54.25,1
IM,2017-01-03,,2
IP,2017-01-03,19.33333333333333,1
IV,2017-01-03,11.0,0
JE,2017-01-03,,2
KA,2017-01-03,20.571428571428573,1
KT,2017-01-03,40.0,1
KW,2017-01-03,11.0,1
KY,2017-01-03,6.333333333333332,1
L,2017-01-03,15.0,0
LA,2017-01-03,17.4,1
LD,2017-01-03,39.285714285714285,1
LE,2017-01-03,28.66666666666667,0
LL,2017-01-03,12.5,1
LN,2017-01-03,35.0,0
LS,2017-01-03,26.0,0
LU,2017-01-03,46.0,0
