region_id,timestamp,val_PM10_mean,extra_rings_PM10_mean
AB,2017-01-01,9.0,0
AL,2017-01-01,16.0,1
B,2017-01-01,9.0,0
BA,2017-01-01,9.0,1
BB,2017-01-01,8.0,2
BD,2017-01-01,8.0,1
BH,2017-01-01,12.0,1
BL,2017-01-01,8.5,1
BN,2017-01-01,15.5,1
BR,2017-01-01,15.0,1
BS,2017-01-01,9.0,0
BT,2017-01-01,9.0,0
CA,2017-01-01,7.0,0
CB,2017-01-01,16.0,1
CF,2017-01-01,10.0,0
CH,2017-01-01,8.0,1
CM,2017-01-01,15.333333333333336,1
CO,2017-01-01,16.0,2
CR,2017-01-01,14.5,1
CT,2017-01-01,19.0,1
CV,2017-01-01,11.5,0
CW,2017-01-01,8.5,1
DA,2017-01-01,15.666666666666664,1
DD,2017-01-01,9.0,1
DE,2017-01-01,9.636363636363637,1
DG,2017-01-01,7.0,1
DH,2017-01-01,7.666666666666668,1
DL,2017-01-01,7.333333333333332,1
DN,2017-01-01,7.0,0
DT,2017-01-01,10.857142857142858,2
DY,2017-01-01,9.0,1
E,2017-01-01,15.0,1
EC,2017-01-01,15.5,1
EH,2017-01-01,6.0,1
EN,2017-01-01,18.0,1
EX,2017-01-01,8.0,1
FK,2017-01-01,6.0,0
FY,2017-01-01,7.0,2
G,2017-01-01,7.5,0
GL,2017-01-01,11.8,1
GU,2017-01-01,13.666666666666664,1
GY,2017-01-01,,2
HA,2017-01-01,18.2,1
HD,2017-01-01,7.666666666666668,1
HG,2017-01-01,7.5,1
HP,2017-01-01,13.5,1
HR,2017-01-01,13.5,1
HS,2017-01-01,,2
HU,2017-01-01,9.0,0
HX,2017-01-01,8.0,2
IG,2017-01-01,14.0,1
IM,2017-01-01,,2
IP,2017-01-01,18.0,1
IV,2017-01-01,9.0,1
JE,2017-01-01,,2
KA,2017-01-01,6.666666666666668,1
KT,2017-01-01,14.0,1
KW,2017-01-01,9.0,2
KY,2017-01-01,6.0,1
L,2017-01-01,8.0,1
LA,2017-01-01,7.0,1
LD,2017-01-01,12.0,1
LE,2017-01-01,12.0,0
LL,2017-01-01,10.75,2
LN,2017-01-01,9.333333333333334,1
LS,2017-01-01,8.0,0
LU,2017-01-01,16.0,1
M,2017-01-01,8.5,0
ME,2017-01-01,19.0,0
MK,2017-01-01,16.0,1
ML,2017-01-01,7.0,1
N,2017-01-01,18.0,1
NE,2017-01-01,6.0,0
NG,2017-01-01,10.5,0
NN,2017-01-01,11.666666666666664,1
NP,2017-01-01,13.5,0
NR,2017-01-01,18.0,0
NW,2017-01-01,19.0,0
OL,2017-01-01,8.5,1
OX,2017-01-01,12.5,1
PA,2017-01-01,5.0,0
PE,2017-01-01,13.4,1
PH,2017-01-01,6.666666666666668,1
PL,2017-01-01,8.0,0
PO,2017-01-01,17.0,0
PR,2017-01-01,8.0,2
RG,2017-01-01,13.5,0
RH,2017-01-01,14.0,0
RM,2017-01-01,13.0,0
S,2017-01-01,7.666666666666668,0
SA,2017-01-01,11.666666666666664,0
SE,2017-01-01,15.0,0
SG,2017-01-01,16.0,0
SK,2017-01-01,8.142857142857142,1
SL,2017-01-01,14.0,1
SM,2017-01-01,16.6,2
SN,2017-01-01,12.0,1
SO,2017-01-01,12.0,0
SP,2017-01-01,12.75,1
SR,2017-01-01,7.666666666666668,1
SS,2017-01-01,17.0,0
ST,2017-01-01,9.0,0
SW,2017-01-01,17.25,1
SY,2017-01-01,11.666666666666664,1
TA,2017-01-01,9.0,1
TD,2017-01-01,6.5,1
TF,2017-01-01,9.0,1
TN,2017-01-01,16.5,1
TQ,2017-01-01,8.0,1
TR,2017-01-01,8.0,1
TS,2017-01-01,8.5,0
TW,2017-01-01,17.666666666666668,1
UB,2017-01-01,15.0,0
