region_id,timestamp,val_SO2_mean,extra_rings_SO2_mean
NR,2017-01-03,2.0,2
NW,2017-01-03,10.0,0
OL,2017-01-03,2.0,1
OX,2017-01-03,1.0,2
PA,2017-01-03,0.0,1
PE,2017-01-03,2.0,1
PH,2017-01-03,0.0,1
PL,2017-01-03,14.0,2
PO,2017-01-03,1.0,1
PR,2017-01-03,1.0,1
RG,2017-01-03,1.0,1
RH,2017-01-03,1.0,1
RM,2017-01-03,2.0,0
S,2017-01-03,1.5,0
SA,2017-01-03,1.0,0
SE,2017-01-03,2.0,1
SG,2017-01-03,4.666666666666667,2
SK,2017-01-03,1.6666666666666667,1
SL,2017-01-03,3.5,2
SM,2017-01-03,2.0,2
SN,2017-01-03,7.5,2
SO,2017-01-03,1.0,0
SP,2017-01-03,1.0,1
SR,2017-01-03,2.0,1
SS,2017-01-03,2.0,1
ST,2017-01-03,1.75,2
SW,2017-01-03,2.0,1
SY,2017-01-03,1.3333333333333333,1
TA,2017-01-03,14.0,0
TD,2017-01-03,2.0,1
TF,2017-01-03,1.3333333333333333,2
TN,2017-01-03,1.0,1
TQ,2017-01-03,14.0,2
TR,2017-01-03,14.0,3
TS,2017-01-03,2.0,0
TW,2017-01-03,2.0,1
UB,2017-01-03,2.0,1
W,2017-01-03,2.0,0
WA,2017-01-03,1.5,1
WC,2017-01-03,2.0,0
WD,2017-01-03,10.0,1
WF,2017-01-03,1.6666666666666667,1
WN,2017-01-03,1.5,1
WR,2017-01-03,1.3333333333333333,2
WS,2017-01-03,1.6666666666666667,2
WV,2017-01-03,1.3333333333333333,2
YO,2017-01-03,2.333333333333333,1
ZE,2017-01-03,,2
AB,2017-01-04,1.0,2
AL,2017-01-04,4.0,2
B,2017-01-04,2.0,2
BA,2017-01-04,9.0,1
BB,2017-01-04,1.6666666666666667,2
BD,2017-01-04,2.0,1
BH,2017-01-04,1.0,1
BL,2017-01-04,1.0,1
BN,2017-01-04,1.0,0
BR,2017-01-04,1.25,2
BS,2017-01-04,9.0,1
BT,2017-01-04,3.6666666666666665,0
CA,2017-01-04,3.5,2
CB,2017-01-04,2.0,2
CF,2017-01-04,3.0,0
CH,2017-01-04,3.5,1
CM,2017-01-04,1.0,1
CO,2017-01-04,1.0,2
CR,2017-01-04,1.4,2
CT,2017-01-04,1.0,1
CV,2017-01-04,2.0,2
CW,2017-01-04,1.7142857142857142,2
DA,2017-01-04,1.0,1
DD,2017-01-04,1.5,2
DE,2017-01-04,2.0,1
DG,2017-01-04,1.5,2
DH,2017-01-04,5.0,1
DL,2017-01-04,5.0,1
