region_id,timestamp,val_PM2.5_max,extra_rings_PM2.5_max
AL,2017-01-03,20.0,1
B,2017-01-03,16.333333333333332,0
BA,2017-01-03,102.0,1
BB,2017-01-03,28.0,1
BD,2017-01-03,11.5,1
BH,2017-01-03,20.0,1
BL,2017-01-03,25.5,1
BN,2017-01-03,15.0,0
BR,2017-01-03,19.0,1
BS,2017-01-03,102.0,0
BT,2017-01-03,10.0,0
CA,2017-01-03,7.0,0
CB,2017-01-03,20.0,1
CF,2017-01-03,18.0,0
CH,2017-01-03,8.0,0
CM,2017-01-03,19.666666666666668,1
CO,2017-01-03,19.0,2
CR,2017-01-03,20.0,1
CT,2017-01-03,19.0,1
CV,2017-01-03,23.66666666666667,0
CW,2017-01-03,12.666666666666664,1
DA,2017-01-03,18.0,0
DD,2017-01-03,7.0,1
DE,2017-01-03,25.0,1
DG,2017-01-03,7.0,1
DH,2017-01-03,4.8,1
DL,2017-01-03,6.428571428571429,1
DN,2017-01-03,26.16666666666667,1
DT,2017-01-03,27.0,1
DY,2017-01-03,16.333333333333332,1
E,2017-01-03,20.0,1
EC,2017-01-03,20.0,1
EH,2017-01-03,3.5,0
EN,2017-01-03,22.0,1
EX,2017-01-03,27.0,0
FK,2017-01-03,4.0,0
FY,2017-01-03,8.0,0
G,2017-01-03,6.0,0
GL,2017-01-03,35.666666666666664,1
GU,2017-01-03,17.75,1
GY,2017-01-03,,2
HA,2017-01-03,21.25,1
HD,2017-01-03,52.5,1
HG,2017-01-03,10.5,1
HP,2017-01-03,21.375,2
HR,2017-01-03,20.5,1
HS,2017-01-03,,2
HU,2017-01-03,15.0,0
HX,2017-01-03,29.142857142857146,2
IG,2017-01-03,20.0,1
IM,2017-01-03,,2
IP,2017-01-03,17.0,1
IV,2017-01-03,7.0,1
JE,2017-01-03,,2
KA,2017-01-03,4.333333333333333,1
KT,2017-01-03,20.0,1
KW,2017-01-03,7.0,2
KY,2017-01-03,3.6666666666666665,1
L,2017-01-03,10.0,0
LA,2017-01-03,14.333333333333336,1
LD,2017-01-03,21.8,1
LE,2017-01-03,22.0,0
LL,2017-01-03,8.0,1
LN,2017-01-03,18.0,1
LS,2017-01-03,11.5,0
LU,2017-01-03,20.0,1
M,2017-01-03,24.0,0
ME,2017-01-03,19.0,0
MK,2017-01-03,20.0,1
ML,2017-01-03,4.6,1
N,2017-01-03,23.0,1
NE,2017-01-03,5.0,0
NG,2017-01-03,18.0,0
NN,2017-01-03,23.25,1
NP,2017-01-03,20.5,0
NR,2017-01-03,17.0,0
NW,2017-01-03,23.0,0
OL,2017-01-03,24.0,1
OX,2017-01-03,23.66666666666667,1
PA,2017-01-03,1.0,0
PE,2017-01-03,19.25,1
PH,2017-01-03,4.0,1
PL,2017-01-03,22.0,0
PO,2017-01-03,16.0,0
PR,2017-01-03,28.0,0
RG,2017-01-03,20.0,1
RH,2017-01-03,20.0,0
RM,2017-01-03,19.2,1
S,2017-01-03,52.5,0
SA,2017-01-03,25.0,0
SE,2017-01-03,20.0,0
SG,2017-01-03,20.0,0
SK,2017-01-03,30.5,1
SL,2017-01-03,14.0,1
SM,2017-01-03,21.66666666666667,2
SN,2017-01-03,102.0,1
SO,2017-01-03,20.0,0
SP,2017-01-03,20.0,1
SR,2017-01-03,5.0,0
SS,2017-01-03,19.5,0
ST,2017-01-03,10.0,0
SW,2017-01-03,22.5,1
SY,2017-01-03,19.33333333333333,1
TA,2017-01-03,64.5,1
TD,2017-01-03,4.75,1
TF,2017-01-03,10.0,1
TN,2017-01-03,18.0,1
TQ,2017-01-03,23.66666666666667,1
TR,2017-01-03,22.0,1
TS,2017-01-03,4.666666666666667,0
TW,2017-01-03,19.5,1
UB,2017-01-03,14.0,0
W,2017-01-03,25.0,0
WA,2017-01-03,20.0,0
WC,2017-01-03,22.75,1
WD,2017-01-03,20.0,1
WF,2017-01-03,24.5,1
WN,2017-01-03,26.0,0
WR,2017-01-03,20.0,1
WS,2017-01-03,14.75,1
WV,2017-01-03,10.0,1
YO,2017-01-03,9.5,0
ZE,2017-01-03,,2
AB,2017-01-04,7.0,0
AL,2017-01-04,22.0,1
B,2017-01-04,16.333333333333332,0
BA,2017-01-04,17.25,2
BB,2017-01-04,30.0,1
BD,2017-01-04,7.5,1
BH,2017-01-04,14.0,1
BL,2017-01-04,26.0,1
BN,2017-01-04,23.0,0
BR,2017-01-04,12.0,1
BS,2017-01-04,20.0,1
BT,2017-01-04,77.5,0
CA,2017-01-04,18.0,0
CB,2017-01-04,22.0,1
CF,2017-01-04,14.0,0
CH,2017-01-04,38.0,0
CM,2017-01-04,16.0,1
CO,2017-01-04,17.0,2
CR,2017-01-04,25.0,1
CT,2017-01-04,13.5,1
CV,2017-01-04,20.33333333333333,0
CW,2017-01-04,31.0,1
DA,2017-01-04,12.0,0
DD,2017-01-04,7.0,1
DE,2017-01-04,16.916666666666668,1
DG,2017-01-04,18.0,1
DH,2017-01-04,9.2,1
DL,2017-01-04,11.285714285714285,1
DN,2017-01-04,12.571428571428573,1
DT,2017-01-04,15.0,1
DY,2017-01-04,16.333333333333332,1
E,2017-01-04,12.0,1
EC,2017-01-04,12.0,1
EH,2017-01-04,9.0,0
EN,2017-01-04,18.0,1
EX,2017-01-04,15.0,0
FK,2017-01-04,16.0,0
FY,2017-01-04,37.0,0
G,2017-01-04,29.0,0
GL,2017-01-04,20.2,1
GU,2017-01-04,22.5,1
GY,2017-01-04,,2
HA,2017-01-04,11.0,0
HD,2017-01-04,13.333333333333336,1
HG,2017-01-04,10.0,1
HP,2017-01-04,16.88888888888889,2
HR,2017-01-04,20.0,1
HS,2017-01-04,,2
HU,2017-01-04,9.0,0
HX,2017-01-04,15.0,2
IG,2017-01-04,12.0,1
IM,2017-01-04,,2
IP,2017-01-04,20.0,1
IV,2017-01-04,7.0,1
JE,2017-01-04,,2
KA,2017-01-04,22.0,1
KT,2017-01-04,38.0,1
KW,2017-01-04,7.0,2
KY,2017-01-04,11.333333333333336,1
L,2017-01-04,15.0,0
LA,2017-01-04,28.33333333333333,1
LD,2017-01-04,18.6,1
LE,2017-01-04,18.0,0
LL,2017-01-04,38.0,1
LN,2017-01-04,14.0,1
LS,2017-01-04,7.5,0
LU,2017-01-04,22.0,1
M,2017-01-04,17.5,0
ME,2017-01-04,13.5,0
MK,2017-01-04,22.0,1
ML,2017-01-04,18.4,1
N,2017-01-04,16.0,1
NE,2017-01-04,8.0,0
NG,2017-01-04,14.0,0
NN,2017-01-04,19.75,1
NP,2017-01-04,20.0,0
NR,2017-01-04,20.0,0
NW,2017-01-04,16.0,0
OL,2017-01-04,17.5,1
OX,2017-01-04,20.33333333333333,1
PA,2017-01-04,8.0,0
PE,2017-01-04,18.5,1
PH,2017-01-04,10.333333333333334,1
PL,2017-01-04,15.0,0
PO,2017-01-04,15.0,0
PR,2017-01-04,30.0,0
RG,2017-01-04,14.0,1
RH,2017-01-04,38.0,0
RM,2017-01-04,12.833333333333336,1
S,2017-01-04,13.333333333333336,0
SA,2017-01-04,19.5,0
SE,2017-01-04,12.0,0
SG,2017-01-04,22.0,0
SK,2017-01-04,18.571428571428573,1
SL,2017-01-04,12.0,1
SM,2017-01-04,21.0,2
SN,2017-01-04,19.166666666666668,2
SO,2017-01-04,14.0,0
SP,2017-01-04,14.0,1
SR,2017-01-04,10.0,0
SS,2017-01-04,13.0,0
ST,2017-01-04,21.0,0
SW,2017-01-04,12.5,1
SY,2017-01-04,25.66666666666667,1
TA,2017-01-04,15.0,1
TD,2017-01-04,11.0,1
TF,2017-01-04,21.0,1
TN,2017-01-04,20.0,1
TQ,2017-01-04,15.0,1
TR,2017-01-04,15.0,1
TS,2017-01-04,9.333333333333334,0
TW,2017-01-04,12.5,1
UB,2017-01-04,12.0,0
W,2017-01-04,13.0,0
WA,2017-01-04,34.0,0
WC,2017-01-04,14.25,1
WD,2017-01-04,13.75,1
WF,2017-01-04,11.428571428571427,1
WN,2017-01-04,39.0,0
WR,2017-01-04,18.33333333333333,1
WS,2017-01-04,17.5,1
WV,2017-01-04,21.0,1
YO,2017-01-04,12.5,0
ZE,2017-01-04,,2
AB,2017-01-05,16.0,0
AL,2017-01-05,46.0,1
B,2017-01-05,48.66666666666666,0
BA,2017-01-05,29.5,2
BB,2017-01-05,32.0,1
BD,2017-01-05,10.5,1
BH,2017-01-05,34.0,1
BL,2017-01-05,39.0,1
BN,2017-01-05,43.0,0
BR,2017-01-05,55.0,1
BS,2017-01-05,35.0,1
BT,2017-01-05,26.5,0
CA,2017-01-05,29.0,0
CB,2017-01-05,46.0,1
CF,2017-01-05,33.0,0
CH,2017-01-05,33.0,0
CM,2017-01-05,47.0,1
CO,2017-01-05,47.75,2
CR,2017-01-05,53.5,1
CT,2017-01-05,30.0,1
CV,2017-01-05,32.0,0
CW,2017-01-05,44.0,1
DA,2017-01-05,54.0,0
DD,2017-01-05,16.0,1
DE,2017-01-05,43.5,1
DG,2017-01-05,29.0,1
DH,2017-01-05,21.4,1
DL,2017-01-05,24.57142857142857,1
DN,2017-01-05,42.142857142857146,1
DT,2017-01-05,14.0,1
DY,2017-01-05,48.66666666666666,1
E,2017-01-05,56.0,1
EC,2017-01-05,56.0,1
EH,2017-01-05,15.0,0
EN,2017-01-05,54.0,1
EX,2017-01-05,14.0,0
FK,2017-01-05,24.0,0
FY,2017-01-05,28.0,0
G,2017-01-05,19.0,0
GL,2017-01-05,33.2,1
GU,2017-01-05,40.25,1
GY,2017-01-05,,2
HA,2017-01-05,60.0,1
HD,2017-01-05,54.33333333333334,1
HG,2017-01-05,19.5,1
HP,2017-01-05,43.0,2
HR,2017-01-05,35.0,1
HS,2017-01-05,,2
HU,2017-01-05,33.0,0
HX,2017-01-05,36.625,2
IG,2017-01-05,56.0,1
IM,2017-01-05,,2
IP,2017-01-05,50.0,1
IV,2017-01-05,16.0,1
JE,2017-01-05,,2
KA,2017-01-05,16.333333333333332,1
KT,2017-01-05,51.0,1
KW,2017-01-05,16.0,2
KY,2017-01-05,18.0,1
L,2017-01-05,40.0,0
LA,2017-01-05,29.66666666666667,1
LD,2017-01-05,30.0,1
LE,2017-01-05,15.0,0
LL,2017-01-05,33.0,1
LN,2017-01-05,42.0,1
LS,2017-01-05,10.5,0
LU,2017-01-05,46.0,1
M,2017-01-05,38.5,0
ME,2017-01-05,30.0,0
MK,2017-01-05,46.0,1
ML,2017-01-05,18.4,1
N,2017-01-05,58.0,1
NE,2017-01-05,24.0,0
NG,2017-01-05,42.0,0
NN,2017-01-05,27.75,1
NP,2017-01-05,35.0,0
NR,2017-01-05,50.0,0
NW,2017-01-05,58.0,0
OL,2017-01-05,38.5,1
OX,2017-01-05,32.0,1
PA,2017-01-05,11.0,0
PE,2017-01-05,38.25,1
PH,2017-01-05,17.0,1
PL,2017-01-05,14.0,1
PO,2017-01-05,33.0,0
PR,2017-01-05,32.0,0
RG,2017-01-05,34.0,1
RH,2017-01-05,51.0,0
RM,2017-01-05,44.16666666666666,1
S,2017-01-05,54.33333333333334,0
SA,2017-01-05,23.5,0
SE,2017-01-05,56.0,0
SG,2017-01-05,46.0,0
SK,2017-01-05,48.42857142857143,1
SL,2017-01-05,52.0,1
SM,2017-01-05,59.66666666666666,2
SN,2017-01-05,33.333333333333336,2
SO,2017-01-05,34.0,0
SP,2017-01-05,34.0,1
SR,2017-01-05,21.0,0
SS,2017-01-05,47.5,0
ST,2017-01-05,60.0,0
SW,2017-01-05,64.0,1
SY,2017-01-05,26.66666666666667,1
TA,2017-01-05,14.0,1
TD,2017-01-05,20.75,1
TF,2017-01-05,60.0,1
TN,2017-01-05,41.6,1
TQ,2017-01-05,14.0,1
TR,2017-01-05,14.0,2
TS,2017-01-05,20.666666666666668,0
TW,2017-01-05,62.0,1
UB,2017-01-05,52.0,0
W,2017-01-05,72.0,0
WA,2017-01-05,39.0,0
WC,2017-01-05,61.0,1
WD,2017-01-05,56.0,1
WF,2017-01-05,34.42857142857143,1
WN,2017-01-05,47.0,0
WR,2017-01-05,40.333333333333336,1
WS,2017-01-05,51.5,1
WV,2017-01-05,60.0,1
YO,2017-01-05,28.5,0
ZE,2017-01-05,,2
AB,2017-01-06,29.0,0
AL,2017-01-06,42.0,1
B,2017-01-06,32.333333333333336,0
BA,2017-01-06,28.33333333333333,2
BB,2017-01-06,19.0,1
BD,2017-01-06,44.0,1
BH,2017-01-06,27.0,1
BL,2017-01-06,24.0,1
BN,2017-01-06,34.0,0
BR,2017-01-06,43.5,1
BS,2017-01-06,29.0,1
BT,2017-01-06,23.5,0
CA,2017-01-06,18.0,0
CB,2017-01-06,42.0,1
CF,2017-01-06,28.0,0
CH,2017-01-06,28.0,0
CM,2017-01-06,42.66666666666666,1
CO,2017-01-06,37.5,2
CR,2017-01-06,45.0,1
CT,2017-01-06,25.0,1
CV,2017-01-06,46.33333333333334,0
CW,2017-01-06,26.33333333333333,1
DA,2017-01-06,46.0,0
DD,2017-01-06,29.0,1
DE,2017-01-06,36.5,1
DG,2017-01-06,18.0,1
DH,2017-01-06,20.0,1
DL,2017-01-06,19.6,1
DN,2017-01-06,32.8,1
DT,2017-01-06,27.0,2
DY,2017-01-06,32.333333333333336,1
E,2017-01-06,41.0,1
EC,2017-01-06,41.0,1
EH,2017-01-06,12.0,0
EN,2017-01-06,54.0,1
EX,2017-01-06,28.33333333333333,3
FK,2017-01-06,23.0,0
FY,2017-01-06,18.0,0
G,2017-01-06,17.0,0
GL,2017-01-06,39.4,1
GU,2017-01-06,33.25,1
GY,2017-01-06,,2
HA,2017-01-06,62.5,1
HD,2017-01-06,36.0,1
HG,2017-01-06,44.0,1
HP,2017-01-06,47.75,2
HR,2017-01-06,29.0,1
HS,2017-01-06,,2
HU,2017-01-06,27.0,0
HX,2017-01-06,32.375,2
IG,2017-01-06,41.0,1
IM,2017-01-06,,2
IP,2017-01-06,22.0,1
IV,2017-01-06,29.0,1
JE,2017-01-06,,2
KA,2017-01-06,14.0,1
KT,2017-01-06,49.0,1
KW,2017-01-06,29.0,2
KY,2017-01-06,15.666666666666664,1
L,2017-01-06,19.0,0
LA,2017-01-06,18.33333333333333,1
LD,2017-01-06,26.0,1
LE,2017-01-06,41.0,0
LL,2017-01-06,28.0,1
LN,2017-01-06,29.0,1
LS,2017-01-06,44.0,0
LU,2017-01-06,42.0,1
M,2017-01-06,22.0,0
ME,2017-01-06,25.0,0
MK,2017-01-06,42.0,1
ML,2017-01-06,16.2,1
N,2017-01-06,60.0,1
NE,2017-01-06,22.0,0
NG,2017-01-06,29.0,0
NN,2017-01-06,45.0,1
NP,2017-01-06,29.0,0
NR,2017-01-06,22.0,0
NW,2017-01-06,60.0,0
OL,2017-01-06,22.0,1
OX,2017-01-06,46.33333333333334,1
PA,2017-01-06,8.0,0
PE,2017-01-06,33.5,1
PH,2017-01-06,20.0,1
PL,2017-01-06,28.33333333333333,4
PO,2017-01-06,23.0,0
PR,2017-01-06,19.0,0
RG,2017-01-06,27.0,1
RH,2017-01-06,49.0,0
RM,2017-01-06,37.16666666666666,1
S,2017-01-06,36.0,0
SA,2017-01-06,22.0,0
SE,2017-01-06,41.0,0
SG,2017-01-06,42.0,0
SK,2017-01-06,29.0,1
SL,2017-01-06,54.0,1
SM,2017-01-06,55.33333333333334,2
SN,2017-01-06,37.333333333333336,2
SO,2017-01-06,27.0,0
SP,2017-01-06,27.0,1
SR,2017-01-06,20.0,0
SS,2017-01-06,43.0,0
ST,2017-01-06,24.0,0
SW,2017-01-06,58.5,1
SY,2017-01-06,24.0,1
TA,2017-01-06,29.0,2
TD,2017-01-06,16.0,1
TF,2017-01-06,24.0,1
TN,2017-01-06,35.8,1
TQ,2017-01-06,28.33333333333333,4
TR,2017-01-06,28.33333333333333,5
TS,2017-01-06,19.33333333333333,0
TW,2017-01-06,65.0,1
UB,2017-01-06,54.0,0
W,2017-01-06,76.0,0
WA,2017-01-06,27.0,0
WC,2017-01-06,59.25,1
WD,2017-01-06,58.0,1
WF,2017-01-06,39.2,1
WN,2017-01-06,33.0,0
WR,2017-01-06,39.333333333333336,1
WS,2017-01-06,30.25,1
WV,2017-01-06,24.0,1
YO,2017-01-06,28.83333333333333,1
ZE,2017-01-06,,2
AB,2017-01-07,16.0,0
AL,2017-01-07,21.0,1
B,2017-01-07,28.66666666666667,0
BA,2017-01-07,26.0,2
BB,2017-01-07,22.0,1
BD,2017-01-07,26.0,1
BH,2017-01-07,22.0,1
BL,2017-01-07,25.75,1
BN,2017-01-07,31.0,0
BR,2017-01-07,27.0,1
BS,2017-01-07,28.0,1
BT,2017-01-07,32.0,0
CA,2017-01-07,30.0,0
CB,2017-01-07,21.0,1
CF,2017-01-07,22.0,0
CH,2017-01-07,16.0,0
CM,2017-01-07,25.33333333333333,1
CO,2017-01-07,27.5,2
CR,2017-01-07,29.5,1
CT,2017-01-07,26.0,1
CV,2017-01-07,34.666666666666664,0
CW,2017-01-07,26.66666666666667,1
DA,2017-01-07,26.0,0
DD,2017-01-07,16.0,1
DE,2017-01-07,29.91666666666667,1
DG,2017-01-07,30.0,1
DH,2017-01-07,22.0,1
DL,2017-01-07,23.2,1
DN,2017-01-07,29.0,1
DT,2017-01-07,22.0,2
DY,2017-01-07,28.66666666666667,1
E,2017-01-07,28.0,1
EC,2017-01-07,28.0,1
EH,2017-01-07,6.0,0
EN,2017-01-07,27.0,1
EX,2017-01-07,26.0,3
FK,2017-01-07,17.0,0
FY,2017-01-07,16.0,0
G,2017-01-07,14.0,0
GL,2017-01-07,32.0,1
GU,2017-01-07,27.75,1
GY,2017-01-07,,2
HA,2017-01-07,25.75,1
HD,2017-01-07,26.66666666666667,1
HG,2017-01-07,26.0,1
HP,2017-01-07,27.875,2
HR,2017-01-07,28.0,1
HS,2017-01-07,,2
HU,2017-01-07,34.0,0
HX,2017-01-07,25.375,2
IG,2017-01-07,28.0,1
IM,2017-01-07,,2
IP,2017-01-07,34.0,1
IV,2017-01-07,16.0,1
JE,2017-01-07,,2
KA,2017-01-07,11.0,1
KT,2017-01-07,31.0,1
KW,2017-01-07,16.0,2
KY,2017-01-07,9.666666666666666,1
L,2017-01-07,24.0,0
LA,2017-01-07,22.66666666666667,1
LD,2017-01-07,24.8,1
LE,2017-01-07,25.0,0
LL,2017-01-07,16.0,1
LN,2017-01-07,31.0,1
LS,2017-01-07,26.0,0
LU,2017-01-07,21.0,1
M,2017-01-07,24.5,0
ME,2017-01-07,26.0,0
MK,2017-01-07,21.0,1
ML,2017-01-07,11.4,1
N,2017-01-07,30.0,1
NE,2017-01-07,10.0,0
NG,2017-01-07,31.0,0
NN,2017-01-07,32.25,1
NP,2017-01-07,28.0,0
NR,2017-01-07,34.0,0
NW,2017-01-07,30.0,0
OL,2017-01-07,24.5,1
OX,2017-01-07,34.666666666666664,1
PA,2017-01-07,5.0,0
PE,2017-01-07,27.75,1
PH,2017-01-07,12.666666666666664,1
PL,2017-01-07,26.0,4
PO,2017-01-07,27.0,0
PR,2017-01-07,22.0,0
RG,2017-01-07,22.0,1
RH,2017-01-07,31.0,0
RM,2017-01-07,26.83333333333333,1
S,2017-01-07,26.66666666666667,0
SA,2017-01-07,23.0,0
SE,2017-01-07,28.0,0
SG,2017-01-07,21.0,0
SK,2017-01-07,27.57142857142857,1
SL,2017-01-07,16.0,1
SM,2017-01-07,28.66666666666667,2
SN,2017-01-07,30.33333333333333,2
SO,2017-01-07,22.0,0
SP,2017-01-07,22.0,1
SR,2017-01-07,24.0,0
SS,2017-01-07,27.5,0
ST,2017-01-07,33.0,0
SW,2017-01-07,27.5,1
SY,2017-01-07,20.666666666666668,1
TA,2017-01-07,28.0,2
