region_id,timestamp,val_PM2.5_mean,extra_rings_PM2.5_mean
HD,2017-01-02,7.0,1
HG,2017-01-02,5.75,1
HP,2017-01-02,9.875,2
HR,2017-01-02,9.5,1
HS,2017-01-02,,2
HU,2017-01-02,6.0,0
HX,2017-01-02,6.857142857142858,2
IG,2017-01-02,11.0,1
IM,2017-01-02,,2
IP,2017-01-02,7.0,1
IV,2017-01-02,2.0,1
JE,2017-01-02,,2
KA,2017-01-02,3.333333333333333,1
KT,2017-01-02,15.0,1
KW,2017-01-02,2.0,2
KY,2017-01-02,4.0,1
L,2017-01-02,6.0,0
LA,2017-01-02,7.0,1
LD,2017-01-02,10.6,1
LE,2017-01-02,8.0,0
LL,2017-01-02,6.0,1
LN,2017-01-02,10.0,1
LS,2017-01-02,4.5,0
LU,2017-01-02,8.0,1
M,2017-01-02,8.0,0
ME,2017-01-02,9.0,0
MK,2017-01-02,8.0,1
ML,2017-01-02,3.8,1
N,2017-01-02,9.0,1
NE,2017-01-02,4.0,0
NG,2017-01-02,10.0,0
NN,2017-01-02,10.25,1
NP,2017-01-02,9.5,0
NR,2017-01-02,7.0,0
NW,2017-01-02,11.5,0
OL,2017-01-02,8.0,1
OX,2017-01-02,11.0,1
PA,2017-01-02,3.0,0
PE,2017-01-02,8.25,1
PH,2017-01-02,3.0,1
PL,2017-01-02,7.0,0
PO,2017-01-02,8.0,0
PR,2017-01-02,9.0,0
RG,2017-01-02,7.0,1
RH,2017-01-02,15.0,0
RM,2017-01-02,9.0,1
S,2017-01-02,7.0,0
SA,2017-01-02,13.0,0
SE,2017-01-02,11.0,0
SG,2017-01-02,8.0,0
SK,2017-01-02,8.166666666666666,1
SL,2017-01-02,8.0,1
SM,2017-01-02,10.0,2
SN,2017-01-02,27.0,1
SO,2017-01-02,7.0,0
SP,2017-01-02,7.0,1
SR,2017-01-02,4.0,0
SS,2017-01-02,9.0,0
ST,2017-01-02,11.0,0
SW,2017-01-02,8.333333333333334,1
SY,2017-01-02,10.666666666666666,1
TA,2017-01-02,18.5,1
TD,2017-01-02,5.25,1
TF,2017-01-02,11.0,1
TN,2017-01-02,10.0,1
TQ,2017-01-02,8.0,1
TR,2017-01-02,7.0,1
TS,2017-01-02,4.333333333333333,0
TW,2017-01-02,9.0,1
UB,2017-01-02,8.0,0
W,2017-01-02,10.0,0
WA,2017-01-02,8.0,0
WC,2017-01-02,4.0,0
WD,2017-01-02,10.333333333333334,1
WF,2017-01-02,6.166666666666668,1
WN,2017-01-02,9.0,0
WR,2017-01-02,10.333333333333334,1
WS,2017-01-02,10.0,1
WV,2017-01-02,11.0,1
YO,2017-01-02,7.0,0
ZE,2017-01-02,,2
AB,2017-01-03,2.0,0
AL,2017-01-03,9.0,1
B,2017-01-03,7.0,0
BA,2017-01-03,29.0,1
BB,2017-01-03,6.0,1
BD,2017-01-03,3.0,1
BH,2017-01-03,7.0,1
BL,2017-01-03,4.5,1
BN,2017-01-03,10.0,0
BR,2017-01-03,12.0,1
BS,2017-01-03,29.0,0
BT,2017-01-03,4.0,0
CA,2017-01-03,4.0,0
CB,2017-01-03,9.0,1
CF,2017-01-03,7.0,0
CH,2017-01-03,2.0,0
CM,2017-01-03,11.666666666666664,1
CO,2017-01-03,11.5,2
CR,2017-01-03,13.5,1
CT,2017-01-03,12.0,1
CV,2017-01-03,9.0,0
CW,2017-01-03,3.333333333333333,1
DA,2017-01-03,10.0,0
DD,2017-01-03,2.0,1
DE,2017-01-03,8.272727272727273,1
DG,2017-01-03,4.0,1
DH,2017-01-03,1.4,1
DL,2017-01-03,2.8571428571428568,1
DN,2017-01-03,8.166666666666666,1
DT,2017-01-03,12.0,1
DY,2017-01-03,7.0,1
E,2017-01-03,14.0,1
EC,2017-01-03,14.0,1
EH,2017-01-03,1.5,0
EN,2017-01-03,13.333333333333336,1
EX,2017-01-03,12.0,0
FK,2017-01-03,2.0,0
FY,2017-01-03,3.0,0
G,2017-01-03,2.0,0
GL,2017-01-03,12.666666666666664,1
GU,2017-01-03,10.25,1
GY,2017-01-03,,2
HA,2017-01-03,12.75,1
HD,2017-01-03,11.0,1
HG,2017-01-03,4.25,1
HP,2017-01-03,10.25,2
HR,2017-01-03,10.0,1
HS,2017-01-03,,2
HU,2017-01-03,7.0,0
HX,2017-01-03,6.0,2
IG,2017-01-03,14.0,1
IM,2017-01-03,,2
IP,2017-01-03,11.0,1
IV,2017-01-03,2.0,1
JE,2017-01-03,,2
KA,2017-01-03,1.6666666666666667,1
KT,2017-01-03,13.0,1
KW,2017-01-03,2.0,2
KY,2017-01-03,1.6666666666666667,1
L,2017-01-03,4.0,0
LA,2017-01-03,4.333333333333333,1
LD,2017-01-03,9.4,1
LE,2017-01-03,8.0,0
LL,2017-01-03,2.0,1
LN,2017-01-03,9.0,1
LS,2017-01-03,3.0,0
LU,2017-01-03,9.0,1
M,2017-01-03,4.0,0
ME,2017-01-03,12.0,0
MK,2017-01-03,9.0,1
ML,2017-01-03,1.8,1
N,2017-01-03,15.5,1
NE,2017-01-03,3.0,0
NG,2017-01-03,9.0,0
NN,2017-01-03,8.75,1
NP,2017-01-03,10.0,0
NR,2017-01-03,11.0,0
NW,2017-01-03,15.5,0
OL,2017-01-03,4.0,1
OX,2017-01-03,9.0,1
PA,2017-01-03,1.0,0
PE,2017-01-03,9.25,1
PH,2017-01-03,1.6666666666666667,1
PL,2017-01-03,10.5,0
PO,2017-01-03,11.0,0
PR,2017-01-03,6.0,0
RG,2017-01-03,7.0,1
RH,2017-01-03,13.0,0
RM,2017-01-03,12.4,1
S,2017-01-03,11.0,0
SA,2017-01-03,10.0,0
SE,2017-01-03,14.0,0
SG,2017-01-03,9.0,0
SK,2017-01-03,6.333333333333332,1
SL,2017-01-03,8.0,1
SM,2017-01-03,13.0,2
SN,2017-01-03,29.0,1
SO,2017-01-03,7.0,0
SP,2017-01-03,7.0,1
SR,2017-01-03,2.0,0
SS,2017-01-03,13.0,0
ST,2017-01-03,4.0,0
SW,2017-01-03,13.0,1
SY,2017-01-03,7.333333333333332,1
TA,2017-01-03,20.5,1
TD,2017-01-03,2.5,1
TF,2017-01-03,4.0,1
TN,2017-01-03,11.25,1
TQ,2017-01-03,11.0,1
TR,2017-01-03,10.5,1
TS,2017-01-03,0.6666666666666666,0
TW,2017-01-03,10.0,1
UB,2017-01-03,8.0,0
W,2017-01-03,12.0,0
WA,2017-01-03,4.0,0
WC,2017-01-03,14.25,1
WD,2017-01-03,13.0,1
WF,2017-01-03,6.5,1
WN,2017-01-03,4.0,0
WR,2017-01-03,8.0,1
WS,2017-01-03,6.25,1
WV,2017-01-03,4.0,1
YO,2017-01-03,5.5,0
ZE,2017-01-03,,2
AB,2017-01-04,4.0,0
AL,2017-01-04,9.0,1
B,2017-01-04,8.0,0
BA,2017-01-04,7.5,2
BB,2017-01-04,10.0,1
BD,2017-01-04,5.0,1
BH,2017-01-04,5.0,1
BL,2017-01-04,8.25,1
BN,2017-01-04,9.0,0
BR,2017-01-04,8.5,1
BS,2017-01-04,8.5,1
BT,2017-01-04,19.5,0
CA,2017-01-04,10.0,0
CB,2017-01-04,9.0,1
CF,2017-01-04,7.0,0
CH,2017-01-04,10.0,0
CM,2017-01-04,8.0,1
CO,2017-01-04,8.0,2
CR,2017-01-04,12.0,1
CT,2017-01-04,9.0,1
CV,2017-01-04,8.666666666666666,0
CW,2017-01-04,10.333333333333334,1
DA,2017-01-04,7.0,0
DD,2017-01-04,4.0,1
DE,2017-01-04,7.75,1
DG,2017-01-04,10.0,1
DH,2017-01-04,4.4,1
DL,2017-01-04,5.571428571428571,1
DN,2017-01-04,6.0,1
DT,2017-01-04,8.0,1
DY,2017-01-04,8.0,1
E,2017-01-04,10.0,1
EC,2017-01-04,10.0,1
EH,2017-01-04,4.0,0
EN,2017-01-04,9.333333333333334,1
EX,2017-01-04,8.0,0
FK,2017-01-04,6.0,0
FY,2017-01-04,9.0,0
G,2017-01-04,9.0,0
GL,2017-01-04,8.6,1
GU,2017-01-04,9.25,1
GY,2017-01-04,,2
HA,2017-01-04,8.0,0
HD,2017-01-04,5.666666666666668,1
HG,2017-01-04,5.5,1
HP,2017-01-04,8.222222222222221,2
HR,2017-01-04,8.5,1
HS,2017-01-04,,2
HU,2017-01-04,6.0,0
HX,2017-01-04,6.0,2
IG,2017-01-04,10.0,1
IM,2017-01-04,,2
IP,2017-01-04,8.0,1
IV,2017-01-04,4.0,1
JE,2017-01-04,,2
KA,2017-01-04,8.0,1
KT,2017-01-04,14.0,1
KW,2017-01-04,4.0,2
KY,2017-01-04,4.666666666666667,1
L,2017-01-04,8.0,0
LA,2017-01-04,9.666666666666666,1
LD,2017-01-04,8.6,1
LE,2017-01-04,9.0,0
LL,2017-01-04,10.0,1
LN,2017-01-04,7.0,1
LS,2017-01-04,5.0,0
LU,2017-01-04,9.0,1
M,2017-01-04,5.5,0
ME,2017-01-04,9.0,0
MK,2017-01-04,9.0,1
ML,2017-01-04,6.4,1
N,2017-01-04,9.5,1
NE,2017-01-04,4.0,0
NG,2017-01-04,7.0,0
NN,2017-01-04,8.75,1
NP,2017-01-04,8.5,0
NR,2017-01-04,8.0,0
NW,2017-01-04,9.5,0
OL,2017-01-04,5.5,1
OX,2017-01-04,8.666666666666666,1
PA,2017-01-04,6.0,0
PE,2017-01-04,8.25,1
PH,2017-01-04,5.333333333333333,1
PL,2017-01-04,5.5,0
PO,2017-01-04,9.0,0
PR,2017-01-04,10.0,0
RG,2017-01-04,5.0,1
RH,2017-01-04,14.0,0
RM,2017-01-04,8.333333333333334,1
S,2017-01-04,5.666666666666668,0
SA,2017-01-04,9.5,0
SE,2017-01-04,10.0,0
SG,2017-01-04,9.0,0
SK,2017-01-04,7.0,1
SL,2017-01-04,7.0,1
SM,2017-01-04,10.666666666666666,2
SN,2017-01-04,8.0,2
SO,2017-01-04,5.0,0
SP,2017-01-04,5.0,1
SR,2017-01-04,5.0,0
SS,2017-01-04,7.5,0
ST,2017-01-04,10.0,0
SW,2017-01-04,9.0,1
SY,2017-01-04,9.666666666666666,1
TA,2017-01-04,8.0,1
TD,2017-01-04,5.5,1
TF,2017-01-04,10.0,1
TN,2017-01-04,9.6,1
TQ,2017-01-04,6.333333333333332,1
TR,2017-01-04,5.5,1
TS,2017-01-04,4.333333333333333,0
TW,2017-01-04,7.5,1
UB,2017-01-04,7.0,0
W,2017-01-04,8.0,0
WA,2017-01-04,11.0,0
WC,2017-01-04,9.25,1
WD,2017-01-04,8.5,1
WF,2017-01-04,5.571428571428571,1
WN,2017-01-04,12.0,0
WR,2017-01-04,8.333333333333334,1
WS,2017-01-04,8.5,1
WV,2017-01-04,10.0,1
YO,2017-01-04,6.0,0
ZE,2017-01-04,,2
AB,2017-01-05,5.0,0
AL,2017-01-05,20.0,1
B,2017-01-05,27.33333333333333,0
BA,2017-01-05,15.25,2
BB,2017-01-05,17.0,1
BD,2017-01-05,14.5,1
BH,2017-01-05,16.0,1
BL,2017-01-05,21.0,1
BN,2017-01-05,22.0,0
BR,2017-01-05,24.5,1
BS,2017-01-05,18.0,1
BT,2017-01-05,10.0,0
CA,2017-01-05,18.0,0
CB,2017-01-05,20.0,1
CF,2017-01-05,17.0,0
CH,2017-01-05,17.0,0
CM,2017-01-05,20.0,1
CO,2017-01-05,18.25,2
CR,2017-01-05,25.5,1
CT,2017-01-05,18.0,1
CV,2017-01-05,25.0,0
CW,2017-01-05,22.66666666666667,1
DA,2017-01-05,24.0,0
DD,2017-01-05,5.0,1
DE,2017-01-05,23.5,1
DG,2017-01-05,18.0,1
DH,2017-01-05,9.4,1
DL,2017-01-05,11.428571428571427,1
DN,2017-01-05,17.428571428571427,1
DT,2017-01-05,9.0,1
DY,2017-01-05,27.33333333333333,1
E,2017-01-05,25.0,1
EC,2017-01-05,25.0,1
EH,2017-01-05,6.0,0
EN,2017-01-05,21.33333333333333,1
EX,2017-01-05,9.0,0
FK,2017-01-05,14.0,0
FY,2017-01-05,19.0,0
G,2017-01-05,11.0,0
GL,2017-01-05,22.2,1
GU,2017-01-05,20.0,1
GY,2017-01-05,,2
HA,2017-01-05,22.75,1
HD,2017-01-05,20.666666666666668,1
HG,2017-01-05,13.5,1
HP,2017-01-05,21.75,2
HR,2017-01-05,18.0,1
HS,2017-01-05,,2
HU,2017-01-05,15.0,0
HX,2017-01-05,18.75,2
IG,2017-01-05,25.0,1
IM,2017-01-05,,2
IP,2017-01-05,13.0,1
IV,2017-01-05,5.0,1
JE,2017-01-05,,2
KA,2017-01-05,9.666666666666666,1
KT,2017-01-05,26.0,1
KW,2017-01-05,5.0,2
KY,2017-01-05,8.666666666666666,1
L,2017-01-05,19.0,0
LA,2017-01-05,18.0,1
LD,2017-01-05,15.2,1
LE,2017-01-05,19.0,0
LL,2017-01-05,17.0,1
LN,2017-01-05,20.0,1
LS,2017-01-05,14.5,0
LU,2017-01-05,20.0,1
M,2017-01-05,21.0,0
ME,2017-01-05,18.0,0
MK,2017-01-05,20.0,1
ML,2017-01-05,9.6,1
N,2017-01-05,22.0,1
NE,2017-01-05,10.0,0
NG,2017-01-05,20.0,0
NN,2017-01-05,23.5,1
NP,2017-01-05,18.0,0
NR,2017-01-05,13.0,0
NW,2017-01-05,22.0,0
OL,2017-01-05,21.0,1
OX,2017-01-05,25.0,1
PA,2017-01-05,7.0,0
PE,2017-01-05,18.0,1
PH,2017-01-05,8.666666666666666,1
PL,2017-01-05,9.0,1
PO,2017-01-05,16.0,0
PR,2017-01-05,17.0,0
RG,2017-01-05,16.0,1
RH,2017-01-05,26.0,0
RM,2017-01-05,20.83333333333333,1
S,2017-01-05,20.666666666666668,0
SA,2017-01-05,11.5,0
SE,2017-01-05,25.0,0
SG,2017-01-05,20.0,0
